Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 445080.7, -26090.28, -36670.25
A.D. 2023-Jan-02 00:00:00.0000 TDB, 445085, -26072.56, -36626.69
A.D. 2023-Jan-03 00:00:00.0000 TDB, 445089.3, -26054.84, -36583.13
A.D. 2023-Jan-04 00:00:00.0000 TDB, 445093.6, -26037.12, -36539.57
A.D. 2023-Jan-05 00:00:00.0000 TDB, 445097.9, -26019.39, -36496.01
A.D. 2023-Jan-06 00:00:00.0000 TDB, 445102.2, -26001.67, -36452.45
A.D. 2023-Jan-07 00:00:00.0000 TDB, 445106.5, -25983.95, -36408.89
A.D. 2023-Jan-08 00:00:00.0000 TDB, 445110.8, -25966.23, -36365.34
A.D. 2023-Jan-09 00:00:00.0000 TDB, 445115.1, -25948.51, -36321.78
A.D. 2023-Jan-10 00:00:00.0000 TDB, 445119.3, -25930.78, -36278.22
A.D. 2023-Jan-11 00:00:00.0000 TDB, 445123.6, -25913.06, -36234.66
A.D. 2023-Jan-12 00:00:00.0000 TDB, 445127.8, -25895.34, -36191.11
A.D. 2023-Jan-13 00:00:00.0000 TDB, 445132.1, -25877.62, -36147.55
A.D. 2023-Jan-14 00:00:00.0000 TDB, 445136.3, -25859.9, -36103.99
A.D. 2023-Jan-15 00:00:00.0000 TDB, 445140.6, -25842.17, -36060.43
A.D. 2023-Jan-16 00:00:00.0000 TDB, 445144.8, -25824.46, -36016.87
A.D. 2023-Jan-17 00:00:00.0000 TDB, 445149.1, -25806.73, -35973.31
A.D. 2023-Jan-18 00:00:00.0000 TDB, 445153.3, -25789.01, -35929.75
A.D. 2023-Jan-19 00:00:00.0000 TDB, 445157.5, -25771.29, -35886.2
A.D. 2023-Jan-20 00:00:00.0000 TDB, 445161.7, -25753.57, -35842.63
A.D. 2023-Jan-21 00:00:00.0000 TDB, 445165.9, -25735.84, -35799.07
A.D. 2023-Jan-22 00:00:00.0000 TDB, 445170.1, -25718.12, -35755.51
A.D. 2023-Jan-23 00:00:00.0000 TDB, 445174.4, -25700.39, -35711.95
A.D. 2023-Jan-24 00:00:00.0000 TDB, 445178.6, -25682.67, -35668.38
A.D. 2023-Jan-25 00:00:00.0000 TDB, 445182.8, -25664.94, -35624.82
A.D. 2023-Jan-26 00:00:00.0000 TDB, 445186.9, -25647.21, -35581.25
A.D. 2023-Jan-27 00:00:00.0000 TDB, 445191.1, -25629.49, -35537.68
A.D. 2023-Jan-28 00:00:00.0000 TDB, 445195.3, -25611.76, -35494.11
A.D. 2023-Jan-29 00:00:00.0000 TDB, 445199.5, -25594.03, -35450.54
A.D. 2023-Jan-30 00:00:00.0000 TDB, 445203.7, -25576.3, -35406.98
A.D. 2023-Jan-31 00:00:00.0000 TDB, 445207.8, -25558.56, -35363.41
A.D. 2023-Feb-01 00:00:00.0000 TDB, 445212, -25540.83, -35319.83
A.D. 2023-Feb-02 00:00:00.0000 TDB, 445216.2, -25523.1, -35276.26
A.D. 2023-Feb-03 00:00:00.0000 TDB, 445220.3, -25505.36, -35232.69
A.D. 2023-Feb-04 00:00:00.0000 TDB, 445224.4, -25487.63, -35189.12
A.D. 2023-Feb-05 00:00:00.0000 TDB, 445228.6, -25469.89, -35145.54
A.D. 2023-Feb-06 00:00:00.0000 TDB, 445232.8, -25452.15, -35101.97
A.D. 2023-Feb-07 00:00:00.0000 TDB, 445236.8, -25434.42, -35058.39
A.D. 2023-Feb-08 00:00:00.0000 TDB, 445241, -25416.68, -35014.82
A.D. 2023-Feb-09 00:00:00.0000 TDB, 445245.1, -25398.94, -34971.25
A.D. 2023-Feb-10 00:00:00.0000 TDB, 445249.2, -25381.21, -34927.67
A.D. 2023-Feb-11 00:00:00.0000 TDB, 445253.3, -25363.47, -34884.1
A.D. 2023-Feb-12 00:00:00.0000 TDB, 445257.4, -25345.74, -34840.52
A.D. 2023-Feb-13 00:00:00.0000 TDB, 445261.5, -25328, -34796.95
A.D. 2023-Feb-14 00:00:00.0000 TDB, 445265.6, -25310.27, -34753.38
A.D. 2023-Feb-15 00:00:00.0000 TDB, 445269.7, -25292.54, -34709.8
A.D. 2023-Feb-16 00:00:00.0000 TDB, 445273.8, -25274.8, -34666.23
A.D. 2023-Feb-17 00:00:00.0000 TDB, 445277.9, -25257.07, -34622.65
A.D. 2023-Feb-18 00:00:00.0000 TDB, 445281.9, -25239.34, -34579.08
A.D. 2023-Feb-19 00:00:00.0000 TDB, 445286, -25221.61, -34535.5
A.D. 2023-Feb-20 00:00:00.0000 TDB, 445290.1, -25203.87, -34491.93
A.D. 2023-Feb-21 00:00:00.0000 TDB, 445294.2, -25186.14, -34448.35
A.D. 2023-Feb-22 00:00:00.0000 TDB, 445298.2, -25168.41, -34404.78
A.D. 2023-Feb-23 00:00:00.0000 TDB, 445302.3, -25150.68, -34361.2
A.D. 2023-Feb-24 00:00:00.0000 TDB, 445306.3, -25132.95, -34317.63
A.D. 2023-Feb-25 00:00:00.0000 TDB, 445310.4, -25115.22, -34274.05
A.D. 2023-Feb-26 00:00:00.0000 TDB, 445314.4, -25097.49, -34230.47
A.D. 2023-Feb-27 00:00:00.0000 TDB, 445318.4, -25079.76, -34186.89
A.D. 2023-Feb-28 00:00:00.0000 TDB, 445322.5, -25062.03, -34143.31
A.D. 2023-Mar-01 00:00:00.0000 TDB, 445326.5, -25044.3, -34099.73
A.D. 2023-Mar-02 00:00:00.0000 TDB, 445330.5, -25026.56, -34056.15
A.D. 2023-Mar-03 00:00:00.0000 TDB, 445334.5, -25008.83, -34012.57
A.D. 2023-Mar-04 00:00:00.0000 TDB, 445338.6, -24991.09, -33968.99
A.D. 2023-Mar-05 00:00:00.0000 TDB, 445342.6, -24973.36, -33925.41
A.D. 2023-Mar-06 00:00:00.0000 TDB, 445346.6, -24955.62, -33881.83
A.D. 2023-Mar-07 00:00:00.0000 TDB, 445350.6, -24937.88, -33838.25
A.D. 2023-Mar-08 00:00:00.0000 TDB, 445354.6, -24920.14, -33794.66
A.D. 2023-Mar-09 00:00:00.0000 TDB, 445358.5, -24902.4, -33751.08
A.D. 2023-Mar-10 00:00:00.0000 TDB, 445362.5, -24884.66, -33707.5
A.D. 2023-Mar-11 00:00:00.0000 TDB, 445366.5, -24866.92, -33663.92
A.D. 2023-Mar-12 00:00:00.0000 TDB, 445370.4, -24849.17, -33620.33
A.D. 2023-Mar-13 00:00:00.0000 TDB, 445374.4, -24831.43, -33576.75
A.D. 2023-Mar-14 00:00:00.0000 TDB, 445378.3, -24813.69, -33533.17
A.D. 2023-Mar-15 00:00:00.0000 TDB, 445382.3, -24795.94, -33489.59
A.D. 2023-Mar-16 00:00:00.0000 TDB, 445386.3, -24778.2, -33446
A.D. 2023-Mar-17 00:00:00.0000 TDB, 445390.2, -24760.45, -33402.41
A.D. 2023-Mar-18 00:00:00.0000 TDB, 445394.1, -24742.7, -33358.83
A.D. 2023-Mar-19 00:00:00.0000 TDB, 445398.1, -24724.96, -33315.25
A.D. 2023-Mar-20 00:00:00.0000 TDB, 445402, -24707.21, -33271.66
A.D. 2023-Mar-21 00:00:00.0000 TDB, 445405.9, -24689.46, -33228.08
A.D. 2023-Mar-22 00:00:00.0000 TDB, 445409.8, -24671.72, -33184.49
A.D. 2023-Mar-23 00:00:00.0000 TDB, 445413.8, -24653.98, -33140.91
A.D. 2023-Mar-24 00:00:00.0000 TDB, 445417.6, -24636.23, -33097.32
A.D. 2023-Mar-25 00:00:00.0000 TDB, 445421.5, -24618.49, -33053.73
A.D. 2023-Mar-26 00:00:00.0000 TDB, 445425.4, -24600.74, -33010.14
A.D. 2023-Mar-27 00:00:00.0000 TDB, 445429.3, -24583, -32966.55
A.D. 2023-Mar-28 00:00:00.0000 TDB, 445433.3, -24565.25, -32922.96
A.D. 2023-Mar-29 00:00:00.0000 TDB, 445437.1, -24547.51, -32879.37
A.D. 2023-Mar-30 00:00:00.0000 TDB, 445441, -24529.77, -32835.78
A.D. 2023-Mar-31 00:00:00.0000 TDB, 445444.9, -24512.02, -32792.19
A.D. 2023-Apr-01 00:00:00.0000 TDB, 445448.8, -24494.28, -32748.6
A.D. 2023-Apr-02 00:00:00.0000 TDB, 445452.6, -24476.53, -32705
A.D. 2023-Apr-03 00:00:00.0000 TDB, 445456.5, -24458.79, -32661.41
A.D. 2023-Apr-04 00:00:00.0000 TDB, 445460.3, -24441.04, -32617.81
A.D. 2023-Apr-05 00:00:00.0000 TDB, 445464.2, -24423.29, -32574.22
A.D. 2023-Apr-06 00:00:00.0000 TDB, 445468.1, -24405.55, -32530.62
A.D. 2023-Apr-07 00:00:00.0000 TDB, 445471.9, -24387.8, -32487.02
A.D. 2023-Apr-08 00:00:00.0000 TDB, 445475.8, -24370.05, -32443.43
A.D. 2023-Apr-09 00:00:00.0000 TDB, 445479.6, -24352.3, -32399.83
A.D. 2023-Apr-10 00:00:00.0000 TDB, 445483.4, -24334.56, -32356.23
A.D. 2023-Apr-11 00:00:00.0000 TDB, 445487.2, -24316.81, -32312.63
A.D. 2023-Apr-12 00:00:00.0000 TDB, 445491, -24299.06, -32269.04
A.D. 2023-Apr-13 00:00:00.0000 TDB, 445494.8, -24281.31, -32225.44
A.D. 2023-Apr-14 00:00:00.0000 TDB, 445498.6, -24263.56, -32181.84
A.D. 2023-Apr-15 00:00:00.0000 TDB, 445502.5, -24245.81, -32138.25
A.D. 2023-Apr-16 00:00:00.0000 TDB, 445506.3, -24228.06, -32094.65
A.D. 2023-Apr-17 00:00:00.0000 TDB, 445510, -24210.31, -32051.05
A.D. 2023-Apr-18 00:00:00.0000 TDB, 445513.8, -24192.56, -32007.46
A.D. 2023-Apr-19 00:00:00.0000 TDB, 445517.6, -24174.81, -31963.86
A.D. 2023-Apr-20 00:00:00.0000 TDB, 445521.3, -24157.06, -31920.27
A.D. 2023-Apr-21 00:00:00.0000 TDB, 445525.2, -24139.31, -31876.67
A.D. 2023-Apr-22 00:00:00.0000 TDB, 445528.9, -24121.56, -31833.07
A.D. 2023-Apr-23 00:00:00.0000 TDB, 445532.7, -24103.81, -31789.48
A.D. 2023-Apr-24 00:00:00.0000 TDB, 445536.4, -24086.06, -31745.88
A.D. 2023-Apr-25 00:00:00.0000 TDB, 445540.2, -24068.31, -31702.29
A.D. 2023-Apr-26 00:00:00.0000 TDB, 445543.9, -24050.56, -31658.69
A.D. 2023-Apr-27 00:00:00.0000 TDB, 445547.6, -24032.81, -31615.09
A.D. 2023-Apr-28 00:00:00.0000 TDB, 445551.4, -24015.06, -31571.5
A.D. 2023-Apr-29 00:00:00.0000 TDB, 445555.1, -23997.31, -31527.9
A.D. 2023-Apr-30 00:00:00.0000 TDB, 445558.8, -23979.56, -31484.3
A.D. 2023-May-01 00:00:00.0000 TDB, 445562.6, -23961.81, -31440.7
A.D. 2023-May-02 00:00:00.0000 TDB, 445566.3, -23944.06, -31397.1
A.D. 2023-May-03 00:00:00.0000 TDB, 445570, -23926.31, -31353.5
A.D. 2023-May-04 00:00:00.0000 TDB, 445573.7, -23908.55, -31309.9
