Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, -2682.456, 5765.908, 13293.13
A.D. 2023-Jan-02 00:00:00.0000 TDB, -2939.637, 5746.81, 13249.09
A.D. 2023-Jan-03 00:00:00.0000 TDB, -3195.928, 5725.931, 13200.95
A.D. 2023-Jan-04 00:00:00.0000 TDB, -3451.255, 5703.28, 13148.71
A.D. 2023-Jan-05 00:00:00.0000 TDB, -3705.542, 5678.863, 13092.4
A.D. 2023-Jan-06 00:00:00.0000 TDB, -3958.714, 5652.69, 13032.03
A.D. 2023-Jan-07 00:00:00.0000 TDB, -4210.699, 5624.77, 12967.63
A.D. 2023-Jan-08 00:00:00.0000 TDB, -4461.421, 5595.109, 12899.21
A.D. 2023-Jan-09 00:00:00.0000 TDB, -4710.807, 5563.718, 12826.79
A.D. 2023-Jan-10 00:00:00.0000 TDB, -4958.783, 5530.605, 12750.4
A.D. 2023-Jan-11 00:00:00.0000 TDB, -5205.275, 5495.779, 12670.05
A.D. 2023-Jan-12 00:00:00.0000 TDB, -5450.21, 5459.25, 12585.76
A.D. 2023-Jan-13 00:00:00.0000 TDB, -5693.514, 5421.026, 12497.57
A.D. 2023-Jan-14 00:00:00.0000 TDB, -5935.111, 5381.12, 12405.48
A.D. 2023-Jan-15 00:00:00.0000 TDB, -6174.928, 5339.539, 12309.54
A.D. 2023-Jan-16 00:00:00.0000 TDB, -6412.889, 5296.296, 12209.75
A.D. 2023-Jan-17 00:00:00.0000 TDB, -6648.918, 5251.402, 12106.16
A.D. 2023-Jan-18 00:00:00.0000 TDB, -6882.939, 5204.868, 11998.79
A.D. 2023-Jan-19 00:00:00.0000 TDB, -7114.875, 5156.707, 11887.66
A.D. 2023-Jan-20 00:00:00.0000 TDB, -7344.649, 5106.933, 11772.82
A.D. 2023-Jan-21 00:00:00.0000 TDB, -7572.182, 5055.561, 11654.29
A.D. 2023-Jan-22 00:00:00.0000 TDB, -7797.396, 5002.607, 11532.13
A.D. 2023-Jan-23 00:00:00.0000 TDB, -8020.217, 4948.089, 11406.36
A.D. 2023-Jan-24 00:00:00.0000 TDB, -8240.568, 4892.026, 11277.03
A.D. 2023-Jan-25 00:00:00.0000 TDB, -8458.381, 4834.439, 11144.19
A.D. 2023-Jan-26 00:00:00.0000 TDB, -8673.585, 4775.35, 11007.9
A.D. 2023-Jan-27 00:00:00.0000 TDB, -8886.115, 4714.78, 10868.19
A.D. 2023-Jan-28 00:00:00.0000 TDB, -9095.907, 4652.751, 10725.11
A.D. 2023-Jan-29 00:00:00.0000 TDB, -9302.902, 4589.286, 10578.73
A.D. 2023-Jan-30 00:00:00.0000 TDB, -9507.039, 4524.406, 10429.08
A.D. 2023-Jan-31 00:00:00.0000 TDB, -9708.261, 4458.134, 10276.22
A.D. 2023-Feb-01 00:00:00.0000 TDB, -9906.51, 4390.493, 10120.19
A.D. 2023-Feb-02 00:00:00.0000 TDB, -10101.73, 4321.503, 9961.055
A.D. 2023-Feb-03 00:00:00.0000 TDB, -10293.87, 4251.188, 9798.855
A.D. 2023-Feb-04 00:00:00.0000 TDB, -10482.88, 4179.569, 9633.645
A.D. 2023-Feb-05 00:00:00.0000 TDB, -10668.69, 4106.669, 9465.473
A.D. 2023-Feb-06 00:00:00.0000 TDB, -10851.27, 4032.51, 9294.392
A.D. 2023-Feb-07 00:00:00.0000 TDB, -11030.55, 3957.113, 9120.453
A.D. 2023-Feb-08 00:00:00.0000 TDB, -11206.49, 3880.502, 8943.707
A.D. 2023-Feb-09 00:00:00.0000 TDB, -11379.04, 3802.699, 8764.207
A.D. 2023-Feb-10 00:00:00.0000 TDB, -11548.14, 3723.726, 8582.006
A.D. 2023-Feb-11 00:00:00.0000 TDB, -11713.75, 3643.606, 8397.155
A.D. 2023-Feb-12 00:00:00.0000 TDB, -11875.82, 3562.361, 8209.71
A.D. 2023-Feb-13 00:00:00.0000 TDB, -12034.29, 3480.016, 8019.724
A.D. 2023-Feb-14 00:00:00.0000 TDB, -12189.13, 3396.593, 7827.254
A.D. 2023-Feb-15 00:00:00.0000 TDB, -12340.26, 3312.118, 7632.357
A.D. 2023-Feb-16 00:00:00.0000 TDB, -12487.66, 3226.613, 7435.092
A.D. 2023-Feb-17 00:00:00.0000 TDB, -12631.27, 3140.107, 7235.519
A.D. 2023-Feb-18 00:00:00.0000 TDB, -12771.04, 3052.624, 7033.698
A.D. 2023-Feb-19 00:00:00.0000 TDB, -12906.91, 2964.193, 6829.698
A.D. 2023-Feb-20 00:00:00.0000 TDB, -13038.86, 2874.844, 6623.585
A.D. 2023-Feb-21 00:00:00.0000 TDB, -13166.83, 2784.606, 6415.429
A.D. 2023-Feb-22 00:00:00.0000 TDB, -13290.79, 2693.511, 6205.3
A.D. 2023-Feb-23 00:00:00.0000 TDB, -13410.69, 2601.591, 5993.27
A.D. 2023-Feb-24 00:00:00.0000 TDB, -13526.52, 2508.876, 5779.412
A.D. 2023-Feb-25 00:00:00.0000 TDB, -13638.22, 2415.399, 5563.795
A.D. 2023-Feb-26 00:00:00.0000 TDB, -13745.79, 2321.192, 5346.494
A.D. 2023-Feb-27 00:00:00.0000 TDB, -13849.19, 2226.285, 5127.576
A.D. 2023-Feb-28 00:00:00.0000 TDB, -13948.4, 2130.708, 4907.113
A.D. 2023-Mar-01 00:00:00.0000 TDB, -14043.39, 2034.493, 4685.172
A.D. 2023-Mar-02 00:00:00.0000 TDB, -14134.15, 1937.669, 4461.823
A.D. 2023-Mar-03 00:00:00.0000 TDB, -14220.66, 1840.266, 4237.134
A.D. 2023-Mar-04 00:00:00.0000 TDB, -14302.89, 1742.313, 4011.174
A.D. 2023-Mar-05 00:00:00.0000 TDB, -14380.83, 1643.841, 3784.008
A.D. 2023-Mar-06 00:00:00.0000 TDB, -14454.46, 1544.878, 3555.705
A.D. 2023-Mar-07 00:00:00.0000 TDB, -14523.77, 1445.452, 3326.332
A.D. 2023-Mar-08 00:00:00.0000 TDB, -14588.74, 1345.594, 3095.955
A.D. 2023-Mar-09 00:00:00.0000 TDB, -14649.36, 1245.33, 2864.64
A.D. 2023-Mar-10 00:00:00.0000 TDB, -14705.6, 1144.689, 2632.453
A.D. 2023-Mar-11 00:00:00.0000 TDB, -14757.46, 1043.701, 2399.462
A.D. 2023-Mar-12 00:00:00.0000 TDB, -14804.93, 942.3921, 2165.733
A.D. 2023-Mar-13 00:00:00.0000 TDB, -14847.98, 840.7922, 1931.332
A.D. 2023-Mar-14 00:00:00.0000 TDB, -14886.62, 738.9297, 1696.328
A.D. 2023-Mar-15 00:00:00.0000 TDB, -14920.81, 636.8339, 1460.788
A.D. 2023-Mar-16 00:00:00.0000 TDB, -14950.56, 534.5342, 1224.783
A.D. 2023-Mar-17 00:00:00.0000 TDB, -14975.84, 432.0613, 988.3841
A.D. 2023-Mar-18 00:00:00.0000 TDB, -14996.66, 329.4462, 751.6629
A.D. 2023-Mar-19 00:00:00.0000 TDB, -15012.99, 226.7209, 514.6939
A.D. 2023-Mar-20 00:00:00.0000 TDB, -15024.84, 123.9183, 277.5525
A.D. 2023-Mar-21 00:00:00.0000 TDB, -15032.2, 21.07173, 40.31521
A.D. 2023-Mar-22 00:00:00.0000 TDB, -15035.07, -81.78485, -196.9407
A.D. 2023-Mar-23 00:00:00.0000 TDB, -15033.45, -184.6174, -434.1382
A.D. 2023-Mar-24 00:00:00.0000 TDB, -15027.35, -287.3922, -671.2006
A.D. 2023-Mar-25 00:00:00.0000 TDB, -15016.78, -390.076, -908.0528
A.D. 2023-Mar-26 00:00:00.0000 TDB, -15001.74, -492.6359, -1144.62
A.D. 2023-Mar-27 00:00:00.0000 TDB, -14982.26, -595.04, -1380.831
A.D. 2023-Mar-28 00:00:00.0000 TDB, -14958.35, -697.2568, -1616.613
A.D. 2023-Mar-29 00:00:00.0000 TDB, -14930.02, -799.2557, -1851.896
A.D. 2023-Mar-30 00:00:00.0000 TDB, -14897.28, -901.0064, -2086.611
A.D. 2023-Mar-31 00:00:00.0000 TDB, -14860.17, -1002.479, -2320.691
A.D. 2023-Apr-01 00:00:00.0000 TDB, -14818.69, -1103.646, -2554.067
A.D. 2023-Apr-02 00:00:00.0000 TDB, -14772.87, -1204.476, -2786.675
A.D. 2023-Apr-03 00:00:00.0000 TDB, -14722.72, -1304.943, -3018.448
A.D. 2023-Apr-04 00:00:00.0000 TDB, -14668.27, -1405.018, -3249.322
A.D. 2023-Apr-05 00:00:00.0000 TDB, -14609.55, -1504.674, -3479.234
A.D. 2023-Apr-06 00:00:00.0000 TDB, -14546.56, -1603.885, -3708.121
A.D. 2023-Apr-07 00:00:00.0000 TDB, -14479.33, -1702.624, -3935.92
A.D. 2023-Apr-08 00:00:00.0000 TDB, -14407.89, -1800.864, -4162.571
A.D. 2023-Apr-09 00:00:00.0000 TDB, -14332.26, -1898.58, -4388.011
A.D. 2023-Apr-10 00:00:00.0000 TDB, -14252.46, -1995.746, -4612.179
A.D. 2023-Apr-11 00:00:00.0000 TDB, -14168.51, -2092.334, -4835.013
A.D. 2023-Apr-12 00:00:00.0000 TDB, -14080.43, -2188.319, -5056.45
A.D. 2023-Apr-13 00:00:00.0000 TDB, -13988.25, -2283.673, -5276.428
A.D. 2023-Apr-14 00:00:00.0000 TDB, -13891.99, -2378.369, -5494.88
A.D. 2023-Apr-15 00:00:00.0000 TDB, -13791.68, -2472.379, -5711.744
A.D. 2023-Apr-16 00:00:00.0000 TDB, -13687.35, -2565.674, -5926.952
A.D. 2023-Apr-17 00:00:00.0000 TDB, -13579.02, -2658.225, -6140.439
A.D. 2023-Apr-18 00:00:00.0000 TDB, -13466.73, -2750.003, -6352.137
A.D. 2023-Apr-19 00:00:00.0000 TDB, -13350.51, -2840.978, -6561.981
A.D. 2023-Apr-20 00:00:00.0000 TDB, -13230.4, -2931.123, -6769.906
A.D. 2023-Apr-21 00:00:00.0000 TDB, -13106.45, -3020.407, -6975.846
A.D. 2023-Apr-22 00:00:00.0000 TDB, -12978.69, -3108.804, -7179.739
A.D. 2023-Apr-23 00:00:00.0000 TDB, -12847.17, -3196.287, -7381.525
A.D. 2023-Apr-24 00:00:00.0000 TDB, -12711.93, -3282.83, -7581.146
A.D. 2023-Apr-25 00:00:00.0000 TDB, -12573.04, -3368.406, -7778.542
A.D. 2023-Apr-26 00:00:00.0000 TDB, -12430.52, -3452.994, -7973.66
A.D. 2023-Apr-27 00:00:00.0000 TDB, -12284.44, -3536.568, -8166.446
A.D. 2023-Apr-28 00:00:00.0000 TDB, -12134.83, -3619.105, -8356.846
A.D. 2023-Apr-29 00:00:00.0000 TDB, -11981.76, -3700.585, -8544.81
A.D. 2023-Apr-30 00:00:00.0000 TDB, -11825.27, -3780.985, -8730.288
