Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 1217.477, -823.5407, -34.15393
A.D. 2023-Jan-02 00:00:00.0000 TDB, 1217.898, -822.851, -34.18269
A.D. 2023-Jan-03 00:00:00.0000 TDB, 1218.318, -822.1608, -34.21145
A.D. 2023-Jan-04 00:00:00.0000 TDB, 1218.738, -821.4705, -34.24022
A.D. 2023-Jan-05 00:00:00.0000 TDB, 1219.158, -820.7798, -34.26898
A.D. 2023-Jan-06 00:00:00.0000 TDB, 1219.577, -820.0889, -34.29773
A.D. 2023-Jan-07 00:00:00.0000 TDB, 1219.996, -819.3977, -34.32647
A.D. 2023-Jan-08 00:00:00.0000 TDB, 1220.414, -818.7062, -34.35518
A.D. 2023-Jan-09 00:00:00.0000 TDB, 1220.832, -818.0146, -34.38387
A.D. 2023-Jan-10 00:00:00.0000 TDB, 1221.25, -817.3228, -34.41252
A.D. 2023-Jan-11 00:00:00.0000 TDB, 1221.667, -816.6307, -34.44114
A.D. 2023-Jan-12 00:00:00.0000 TDB, 1222.084, -815.9384, -34.46974
A.D. 2023-Jan-13 00:00:00.0000 TDB, 1222.5, -815.2458, -34.49832
A.D. 2023-Jan-14 00:00:00.0000 TDB, 1222.916, -814.5531, -34.52688
A.D. 2023-Jan-15 00:00:00.0000 TDB, 1223.332, -813.86, -34.55544
A.D. 2023-Jan-16 00:00:00.0000 TDB, 1223.748, -813.1667, -34.584
A.D. 2023-Jan-17 00:00:00.0000 TDB, 1224.163, -812.4731, -34.61258
A.D. 2023-Jan-18 00:00:00.0000 TDB, 1224.577, -811.7792, -34.64116
A.D. 2023-Jan-19 00:00:00.0000 TDB, 1224.992, -811.0851, -34.66975
A.D. 2023-Jan-20 00:00:00.0000 TDB, 1225.406, -810.3906, -34.69835
A.D. 2023-Jan-21 00:00:00.0000 TDB, 1225.819, -809.6959, -34.72694
A.D. 2023-Jan-22 00:00:00.0000 TDB, 1226.232, -809.0009, -34.75552
A.D. 2023-Jan-23 00:00:00.0000 TDB, 1226.645, -808.3056, -34.78408
A.D. 2023-Jan-24 00:00:00.0000 TDB, 1227.057, -807.6101, -34.81262
