Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 199873.1, 84210.87, 198728.8
A.D. 2023-Jan-02 00:00:00.0000 TDB, 199829.5, 84226.32, 198762.7
A.D. 2023-Jan-03 00:00:00.0000 TDB, 199785.8, 84241.77, 198796.5
A.D. 2023-Jan-04 00:00:00.0000 TDB, 199742.2, 84257.22, 198830.4
A.D. 2023-Jan-05 00:00:00.0000 TDB, 199698.6, 84272.66, 198864.3
A.D. 2023-Jan-06 00:00:00.0000 TDB, 199655, 84288.11, 198898.1
A.D. 2023-Jan-07 00:00:00.0000 TDB, 199611.3, 84303.55, 198931.9
A.D. 2023-Jan-08 00:00:00.0000 TDB, 199567.7, 84318.99, 198965.8
A.D. 2023-Jan-09 00:00:00.0000 TDB, 199524, 84334.42, 198999.6
A.D. 2023-Jan-10 00:00:00.0000 TDB, 199480.3, 84349.86, 199033.4
A.D. 2023-Jan-11 00:00:00.0000 TDB, 199436.6, 84365.28, 199067.2
A.D. 2023-Jan-12 00:00:00.0000 TDB, 199393, 84380.7, 199101
A.D. 2023-Jan-13 00:00:00.0000 TDB, 199349.3, 84396.13, 199134.8
A.D. 2023-Jan-14 00:00:00.0000 TDB, 199305.6, 84411.54, 199168.6
A.D. 2023-Jan-15 00:00:00.0000 TDB, 199261.9, 84426.95, 199202.4
A.D. 2023-Jan-16 00:00:00.0000 TDB, 199218.2, 84442.36, 199236.2
A.D. 2023-Jan-17 00:00:00.0000 TDB, 199174.4, 84457.77, 199269.9
A.D. 2023-Jan-18 00:00:00.0000 TDB, 199130.7, 84473.17, 199303.7
A.D. 2023-Jan-19 00:00:00.0000 TDB, 199087, 84488.57, 199337.5
A.D. 2023-Jan-20 00:00:00.0000 TDB, 199043.2, 84503.97, 199371.2
A.D. 2023-Jan-21 00:00:00.0000 TDB, 198999.5, 84519.36, 199404.9
A.D. 2023-Jan-22 00:00:00.0000 TDB, 198955.7, 84534.75, 199438.6
A.D. 2023-Jan-23 00:00:00.0000 TDB, 198911.9, 84550.14, 199472.4
A.D. 2023-Jan-24 00:00:00.0000 TDB, 198868.2, 84565.52, 199506.1
A.D. 2023-Jan-25 00:00:00.0000 TDB, 198824.4, 84580.91, 199539.8
A.D. 2023-Jan-26 00:00:00.0000 TDB, 198780.6, 84596.28, 199573.5
A.D. 2023-Jan-27 00:00:00.0000 TDB, 198736.8, 84611.66, 199607.2
A.D. 2023-Jan-28 00:00:00.0000 TDB, 198693, 84627.02, 199640.8
A.D. 2023-Jan-29 00:00:00.0000 TDB, 198649.2, 84642.39, 199674.5
A.D. 2023-Jan-30 00:00:00.0000 TDB, 198605.3, 84657.75, 199708.2
A.D. 2023-Jan-31 00:00:00.0000 TDB, 198561.5, 84673.11, 199741.8
A.D. 2023-Feb-01 00:00:00.0000 TDB, 198517.7, 84688.47, 199775.5
A.D. 2023-Feb-02 00:00:00.0000 TDB, 198473.8, 84703.82, 199809.1
A.D. 2023-Feb-03 00:00:00.0000 TDB, 198430, 84719.17, 199842.8
A.D. 2023-Feb-04 00:00:00.0000 TDB, 198386.1, 84734.52, 199876.4
A.D. 2023-Feb-05 00:00:00.0000 TDB, 198342.2, 84749.87, 199910
A.D. 2023-Feb-06 00:00:00.0000 TDB, 198298.4, 84765.21, 199943.6
A.D. 2023-Feb-07 00:00:00.0000 TDB, 198254.5, 84780.55, 199977.2
A.D. 2023-Feb-08 00:00:00.0000 TDB, 198210.6, 84795.88, 200010.8
A.D. 2023-Feb-09 00:00:00.0000 TDB, 198166.7, 84811.2, 200044.4
A.D. 2023-Feb-10 00:00:00.0000 TDB, 198122.8, 84826.53, 200078
A.D. 2023-Feb-11 00:00:00.0000 TDB, 198078.9, 84841.86, 200111.5
A.D. 2023-Feb-12 00:00:00.0000 TDB, 198034.9, 84857.18, 200145.1
A.D. 2023-Feb-13 00:00:00.0000 TDB, 197991, 84872.5, 200178.7
A.D. 2023-Feb-14 00:00:00.0000 TDB, 197947.1, 84887.8, 200212.2
A.D. 2023-Feb-15 00:00:00.0000 TDB, 197903.1, 84903.13, 200245.8
A.D. 2023-Feb-16 00:00:00.0000 TDB, 197859.2, 84918.43, 200279.3
A.D. 2023-Feb-17 00:00:00.0000 TDB, 197815.2, 84933.73, 200312.8
A.D. 2023-Feb-18 00:00:00.0000 TDB, 197771.2, 84949.03, 200346.3
A.D. 2023-Feb-19 00:00:00.0000 TDB, 197727.3, 84964.34, 200379.8
A.D. 2023-Feb-20 00:00:00.0000 TDB, 197683.3, 84979.63, 200413.3
A.D. 2023-Feb-21 00:00:00.0000 TDB, 197639.3, 84994.92, 200446.8
A.D. 2023-Feb-22 00:00:00.0000 TDB, 197595.3, 85010.21, 200480.3
A.D. 2023-Feb-23 00:00:00.0000 TDB, 197551.3, 85025.49, 200513.8
A.D. 2023-Feb-24 00:00:00.0000 TDB, 197507.3, 85040.77, 200547.2
A.D. 2023-Feb-25 00:00:00.0000 TDB, 197463.2, 85056.05, 200580.7
A.D. 2023-Feb-26 00:00:00.0000 TDB, 197419.2, 85071.32, 200614.2
A.D. 2023-Feb-27 00:00:00.0000 TDB, 197375.2, 85086.59, 200647.6
A.D. 2023-Feb-28 00:00:00.0000 TDB, 197331.1, 85101.86, 200681
A.D. 2023-Mar-01 00:00:00.0000 TDB, 197287, 85117.13, 200714.5
A.D. 2023-Mar-02 00:00:00.0000 TDB, 197243, 85132.38, 200747.9
A.D. 2023-Mar-03 00:00:00.0000 TDB, 197198.9, 85147.65, 200781.3
A.D. 2023-Mar-04 00:00:00.0000 TDB, 197154.8, 85162.9, 200814.7
A.D. 2023-Mar-05 00:00:00.0000 TDB, 197110.8, 85178.15, 200848.1
A.D. 2023-Mar-06 00:00:00.0000 TDB, 197066.7, 85193.4, 200881.5
A.D. 2023-Mar-07 00:00:00.0000 TDB, 197022.6, 85208.64, 200914.9
A.D. 2023-Mar-08 00:00:00.0000 TDB, 196978.5, 85223.88, 200948.3
A.D. 2023-Mar-09 00:00:00.0000 TDB, 196934.3, 85239.13, 200981.6
A.D. 2023-Mar-10 00:00:00.0000 TDB, 196890.2, 85254.35, 201015
A.D. 2023-Mar-11 00:00:00.0000 TDB, 196846.1, 85269.59, 201048.3
A.D. 2023-Mar-12 00:00:00.0000 TDB, 196802, 85284.81, 201081.7
A.D. 2023-Mar-13 00:00:00.0000 TDB, 196757.8, 85300.04, 201115
A.D. 2023-Mar-14 00:00:00.0000 TDB, 196713.6, 85315.26, 201148.4
A.D. 2023-Mar-15 00:00:00.0000 TDB, 196669.5, 85330.48, 201181.7
A.D. 2023-Mar-16 00:00:00.0000 TDB, 196625.3, 85345.69, 201215
A.D. 2023-Mar-17 00:00:00.0000 TDB, 196581.1, 85360.91, 201248.3
A.D. 2023-Mar-18 00:00:00.0000 TDB, 196536.9, 85376.12, 201281.6
A.D. 2023-Mar-19 00:00:00.0000 TDB, 196492.8, 85391.32, 201314.9
A.D. 2023-Mar-20 00:00:00.0000 TDB, 196448.5, 85406.52, 201348.1
A.D. 2023-Mar-21 00:00:00.0000 TDB, 196404.3, 85421.72, 201381.4
A.D. 2023-Mar-22 00:00:00.0000 TDB, 196360.1, 85436.91, 201414.7
A.D. 2023-Mar-23 00:00:00.0000 TDB, 196315.9, 85452.1, 201448
A.D. 2023-Mar-24 00:00:00.0000 TDB, 196271.7, 85467.29, 201481.2
A.D. 2023-Mar-25 00:00:00.0000 TDB, 196227.4, 85482.47, 201514.4
A.D. 2023-Mar-26 00:00:00.0000 TDB, 196183.2, 85497.65, 201547.7
A.D. 2023-Mar-27 00:00:00.0000 TDB, 196138.9, 85512.83, 201580.9
A.D. 2023-Mar-28 00:00:00.0000 TDB, 196094.7, 85528.01, 201614.1
A.D. 2023-Mar-29 00:00:00.0000 TDB, 196050.4, 85543.18, 201647.3
A.D. 2023-Mar-30 00:00:00.0000 TDB, 196006.1, 85558.35, 201680.5
A.D. 2023-Mar-31 00:00:00.0000 TDB, 195961.8, 85573.51, 201713.7
A.D. 2023-Apr-01 00:00:00.0000 TDB, 195917.5, 85588.67, 201746.9
A.D. 2023-Apr-02 00:00:00.0000 TDB, 195873.2, 85603.84, 201780.1
A.D. 2023-Apr-03 00:00:00.0000 TDB, 195828.9, 85618.98, 201813.3
A.D. 2023-Apr-04 00:00:00.0000 TDB, 195784.6, 85634.14, 201846.4
