Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 1764.026, 1831.131, 3789.942
A.D. 2023-Jan-02 00:00:00.0000 TDB, 1287.534, 1950.648, 3921.195
A.D. 2023-Jan-03 00:00:00.0000 TDB, 796.6161, 2050.417, 4012.682
A.D. 2023-Jan-04 00:00:00.0000 TDB, 296.226, 2129.383, 4063.389
A.D. 2023-Jan-05 00:00:00.0000 TDB, -208.5387, 2186.833, 4072.968
A.D. 2023-Jan-06 00:00:00.0000 TDB, -712.5818, 2222.407, 4041.74
A.D. 2023-Jan-07 00:00:00.0000 TDB, -1210.951, 2236.107, 3970.662
A.D. 2023-Jan-08 00:00:00.0000 TDB, -1698.965, 2228.269, 3861.277
A.D. 2023-Jan-09 00:00:00.0000 TDB, -2172.319, 2199.537, 3715.621
A.D. 2023-Jan-10 00:00:00.0000 TDB, -2627.162, 2150.816, 3536.141
A.D. 2023-Jan-11 00:00:00.0000 TDB, -3060.148, 2083.232, 3325.59
A.D. 2023-Jan-12 00:00:00.0000 TDB, -3468.456, 1998.074, 3086.928
A.D. 2023-Jan-13 00:00:00.0000 TDB, -3849.788, 1896.749, 2823.237
A.D. 2023-Jan-14 00:00:00.0000 TDB, -4202.349, 1780.738, 2537.636
A.D. 2023-Jan-15 00:00:00.0000 TDB, -4524.814, 1651.554, 2233.216
A.D. 2023-Jan-16 00:00:00.0000 TDB, -4816.282, 1510.714, 1912.989
A.D. 2023-Jan-17 00:00:00.0000 TDB, -5076.229, 1359.705, 1579.844
A.D. 2023-Jan-18 00:00:00.0000 TDB, -5304.458, 1199.974, 1236.524
A.D. 2023-Jan-19 00:00:00.0000 TDB, -5501.048, 1032.904, 885.6041
A.D. 2023-Jan-20 00:00:00.0000 TDB, -5666.315, 859.8087, 529.4841
A.D. 2023-Jan-21 00:00:00.0000 TDB, -5800.763, 681.9282, 170.3853
A.D. 2023-Jan-22 00:00:00.0000 TDB, -5905.054, 500.423, -189.6478
A.D. 2023-Jan-23 00:00:00.0000 TDB, -5979.97, 316.3749, -548.7418
