Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 775.2584, 23379.88, 470.7747
A.D. 2023-Jan-02 00:00:00.0000 TDB, 573.9858, 23404.77, 476.2375
A.D. 2023-Jan-03 00:00:00.0000 TDB, 372.6586, 23427.86, 481.6638
A.D. 2023-Jan-04 00:00:00.0000 TDB, 171.2925, 23449.15, 487.0533
A.D. 2023-Jan-05 00:00:00.0000 TDB, -30.09699, 23468.64, 492.4056
A.D. 2023-Jan-06 00:00:00.0000 TDB, -231.4944, 23486.33, 497.7204
A.D. 2023-Jan-07 00:00:00.0000 TDB, -432.8842, 23502.22, 502.9974
A.D. 2023-Jan-08 00:00:00.0000 TDB, -634.2512, 23516.32, 508.2364
A.D. 2023-Jan-09 00:00:00.0000 TDB, -835.5801, 23528.64, 513.4368
A.D. 2023-Jan-10 00:00:00.0000 TDB, -1036.856, 23539.16, 518.5986
A.D. 2023-Jan-11 00:00:00.0000 TDB, -1238.063, 23547.91, 523.7213
A.D. 2023-Jan-12 00:00:00.0000 TDB, -1439.186, 23554.87, 528.8046
A.D. 2023-Jan-13 00:00:00.0000 TDB, -1640.211, 23560.06, 533.8483
A.D. 2023-Jan-14 00:00:00.0000 TDB, -1841.123, 23563.48, 538.8521
A.D. 2023-Jan-15 00:00:00.0000 TDB, -2041.907, 23565.13, 543.8157
A.D. 2023-Jan-16 00:00:00.0000 TDB, -2242.547, 23565.01, 548.7387
A.D. 2023-Jan-17 00:00:00.0000 TDB, -2443.03, 23563.13, 553.621
A.D. 2023-Jan-18 00:00:00.0000 TDB, -2643.341, 23559.49, 558.4622
A.D. 2023-Jan-19 00:00:00.0000 TDB, -2843.464, 23554.1, 563.262
A.D. 2023-Jan-20 00:00:00.0000 TDB, -3043.387, 23546.96, 568.0203
A.D. 2023-Jan-21 00:00:00.0000 TDB, -3243.094, 23538.08, 572.7367
A.D. 2023-Jan-22 00:00:00.0000 TDB, -3442.57, 23527.46, 577.411
A.D. 2023-Jan-23 00:00:00.0000 TDB, -3641.803, 23515.09, 582.0429
A.D. 2023-Jan-24 00:00:00.0000 TDB, -3840.777, 23501, 586.6321
A.D. 2023-Jan-25 00:00:00.0000 TDB, -4039.479, 23485.18, 591.1785
A.D. 2023-Jan-26 00:00:00.0000 TDB, -4237.894, 23467.64, 595.6818
A.D. 2023-Jan-27 00:00:00.0000 TDB, -4436.009, 23448.38, 600.1417
A.D. 2023-Jan-28 00:00:00.0000 TDB, -4633.809, 23427.4, 604.5579
A.D. 2023-Jan-29 00:00:00.0000 TDB, -4831.282, 23404.72, 608.9304
A.D. 2023-Jan-30 00:00:00.0000 TDB, -5028.413, 23380.34, 613.2587
A.D. 2023-Jan-31 00:00:00.0000 TDB, -5225.188, 23354.26, 617.5428
A.D. 2023-Feb-01 00:00:00.0000 TDB, -5421.594, 23326.49, 621.7824
A.D. 2023-Feb-02 00:00:00.0000 TDB, -5617.618, 23297.03, 625.9772
A.D. 2023-Feb-03 00:00:00.0000 TDB, -5813.247, 23265.89, 630.1271
A.D. 2023-Feb-04 00:00:00.0000 TDB, -6008.465, 23233.07, 634.2318
