Date, X, Y, Z
A.D. 2023-Mar-12 00:00:00.0000 TDB, 70053.25, 22335.63, 7868.623
A.D. 2023-Mar-13 00:00:00.0000 TDB, 70015.81, 22438.47, 7913.613
A.D. 2023-Mar-14 00:00:00.0000 TDB, 69978.21, 22541.25, 7958.582
A.D. 2023-Mar-15 00:00:00.0000 TDB, 69940.43, 22643.97, 8003.53
A.D. 2023-Mar-16 00:00:00.0000 TDB, 69902.48, 22746.63, 8048.455
A.D. 2023-Mar-17 00:00:00.0000 TDB, 69864.38, 22849.24, 8093.365
A.D. 2023-Mar-18 00:00:00.0000 TDB, 69826.11, 22951.79, 8138.256
A.D. 2023-Mar-19 00:00:00.0000 TDB, 69787.66, 23054.3, 8183.131
A.D. 2023-Mar-20 00:00:00.0000 TDB, 69749.04, 23156.75, 8227.984
A.D. 2023-Mar-21 00:00:00.0000 TDB, 69710.24, 23259.14, 8272.816
A.D. 2023-Mar-22 00:00:00.0000 TDB, 69671.27, 23361.48, 8317.63
A.D. 2023-Mar-23 00:00:00.0000 TDB, 69632.14, 23463.75, 8362.418
A.D. 2023-Mar-24 00:00:00.0000 TDB, 69592.84, 23565.97, 8407.189
A.D. 2023-Mar-25 00:00:00.0000 TDB, 69553.38, 23668.13, 8451.942
A.D. 2023-Mar-26 00:00:00.0000 TDB, 69513.73, 23770.25, 8496.679
A.D. 2023-Mar-27 00:00:00.0000 TDB, 69473.91, 23872.3, 8541.391
A.D. 2023-Mar-28 00:00:00.0000 TDB, 69433.92, 23974.29, 8586.08
A.D. 2023-Mar-29 00:00:00.0000 TDB, 69393.76, 24076.22, 8630.747
A.D. 2023-Mar-30 00:00:00.0000 TDB, 69353.43, 24178.08, 8675.389
A.D. 2023-Mar-31 00:00:00.0000 TDB, 69312.94, 24279.89, 8720.011
A.D. 2023-Apr-01 00:00:00.0000 TDB, 69272.29, 24381.63, 8764.613
A.D. 2023-Apr-02 00:00:00.0000 TDB, 69231.45, 24483.33, 8809.2
A.D. 2023-Apr-03 00:00:00.0000 TDB, 69190.46, 24584.97, 8853.76
A.D. 2023-Apr-04 00:00:00.0000 TDB, 69149.29, 24686.54, 8898.3
A.D. 2023-Apr-05 00:00:00.0000 TDB, 69107.95, 24788.05, 8942.817
A.D. 2023-Apr-06 00:00:00.0000 TDB, 69066.45, 24889.5, 8987.31
A.D. 2023-Apr-07 00:00:00.0000 TDB, 69024.78, 24990.89, 9031.783
A.D. 2023-Apr-08 00:00:00.0000 TDB, 68982.95, 25092.22, 9076.235
A.D. 2023-Apr-09 00:00:00.0000 TDB, 68940.95, 25193.5, 9120.672
A.D. 2023-Apr-10 00:00:00.0000 TDB, 68898.77, 25294.71, 9165.082
A.D. 2023-Apr-11 00:00:00.0000 TDB, 68856.41, 25395.87, 9209.472
A.D. 2023-Apr-12 00:00:00.0000 TDB, 68813.89, 25496.96, 9253.837
A.D. 2023-Apr-13 00:00:00.0000 TDB, 68771.2, 25597.98, 9298.175
A.D. 2023-Apr-14 00:00:00.0000 TDB, 68728.35, 25698.93, 9342.49
A.D. 2023-Apr-15 00:00:00.0000 TDB, 68685.34, 25799.83, 9386.784
A.D. 2023-Apr-16 00:00:00.0000 TDB, 68642.15, 25900.67, 9431.061
A.D. 2023-Apr-17 00:00:00.0000 TDB, 68598.8, 26001.44, 9475.31
A.D. 2023-Apr-18 00:00:00.0000 TDB, 68555.27, 26102.15, 9519.537
A.D. 2023-Apr-19 00:00:00.0000 TDB, 68511.58, 26202.79, 9563.737
A.D. 2023-Apr-20 00:00:00.0000 TDB, 68467.72, 26303.37, 9607.914
A.D. 2023-Apr-21 00:00:00.0000 TDB, 68423.7, 26403.87, 9652.066
A.D. 2023-Apr-22 00:00:00.0000 TDB, 68379.52, 26504.32, 9696.197
A.D. 2023-Apr-23 00:00:00.0000 TDB, 68335.18, 26604.72, 9740.311
A.D. 2023-Apr-24 00:00:00.0000 TDB, 68290.66, 26705.04, 9784.398
A.D. 2023-Apr-25 00:00:00.0000 TDB, 68245.97, 26805.31, 9828.464
A.D. 2023-Apr-26 00:00:00.0000 TDB, 68201.12, 26905.51, 9872.503
A.D. 2023-Apr-27 00:00:00.0000 TDB, 68156.09, 27005.63, 9916.517
A.D. 2023-Apr-28 00:00:00.0000 TDB, 68110.9, 27105.69, 9960.505
A.D. 2023-Apr-29 00:00:00.0000 TDB, 68065.55, 27205.69, 10004.47
A.D. 2023-Apr-30 00:00:00.0000 TDB, 68020.03, 27305.63, 10048.41
A.D. 2023-May-01 00:00:00.0000 TDB, 67974.34, 27405.49, 10092.33
