Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 8259.476, -3279.634, -6115.927
A.D. 2023-Jan-02 00:00:00.0000 TDB, 8446.742, -3193.169, -5897.443
A.D. 2023-Jan-03 00:00:00.0000 TDB, 8627.432, -3104.255, -5674.44
A.D. 2023-Jan-04 00:00:00.0000 TDB, 8801.402, -3012.958, -5447.087
A.D. 2023-Jan-05 00:00:00.0000 TDB, 8968.522, -2919.349, -5215.559
A.D. 2023-Jan-06 00:00:00.0000 TDB, 9128.661, -2823.499, -4980.031
A.D. 2023-Jan-07 00:00:00.0000 TDB, 9281.697, -2725.481, -4740.684
A.D. 2023-Jan-08 00:00:00.0000 TDB, 9427.509, -2625.37, -4497.702
A.D. 2023-Jan-09 00:00:00.0000 TDB, 9565.984, -2523.243, -4251.269
A.D. 2023-Jan-10 00:00:00.0000 TDB, 9697.016, -2419.177, -4001.575
A.D. 2023-Jan-11 00:00:00.0000 TDB, 9820.502, -2313.252, -3748.811
A.D. 2023-Jan-12 00:00:00.0000 TDB, 9936.345, -2205.549, -3493.169
A.D. 2023-Jan-13 00:00:00.0000 TDB, 10044.45, -2096.15, -3234.846
A.D. 2023-Jan-14 00:00:00.0000 TDB, 10144.75, -1985.139, -2974.04
A.D. 2023-Jan-15 00:00:00.0000 TDB, 10237.14, -1872.601, -2710.95
A.D. 2023-Jan-16 00:00:00.0000 TDB, 10321.56, -1758.621, -2445.777
A.D. 2023-Jan-17 00:00:00.0000 TDB, 10397.94, -1643.287, -2178.726
A.D. 2023-Jan-18 00:00:00.0000 TDB, 10466.23, -1526.688, -1910.001
A.D. 2023-Jan-19 00:00:00.0000 TDB, 10526.36, -1408.913, -1639.808
A.D. 2023-Jan-20 00:00:00.0000 TDB, 10578.28, -1290.051, -1368.355
A.D. 2023-Jan-21 00:00:00.0000 TDB, 10621.96, -1170.194, -1095.851
A.D. 2023-Jan-22 00:00:00.0000 TDB, 10657.36, -1049.435, -822.504
A.D. 2023-Jan-23 00:00:00.0000 TDB, 10684.44, -927.8652, -548.5256
A.D. 2023-Jan-24 00:00:00.0000 TDB, 10703.19, -805.5786, -274.1266
A.D. 2023-Jan-25 00:00:00.0000 TDB, 10713.58, -682.6692, 0.4816862
A.D. 2023-Jan-26 00:00:00.0000 TDB, 10715.6, -559.2316, 275.0874
