Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, -135.463, 0.05273806, 3.44957
A.D. 2023-Jan-02 00:00:00.0000 TDB, -135.4488, -0.07107751, 3.39673
A.D. 2023-Jan-03 00:00:00.0000 TDB, -135.4344, -0.1948556, 3.343902
A.D. 2023-Jan-04 00:00:00.0000 TDB, -135.4198, -0.3185953, 3.291085
A.D. 2023-Jan-05 00:00:00.0000 TDB, -135.4049, -0.442296, 3.238279
A.D. 2023-Jan-06 00:00:00.0000 TDB, -135.3899, -0.5659571, 3.185486
A.D. 2023-Jan-07 00:00:00.0000 TDB, -135.3747, -0.6895782, 3.132704
A.D. 2023-Jan-08 00:00:00.0000 TDB, -135.3593, -0.8131588, 3.079936
A.D. 2023-Jan-09 00:00:00.0000 TDB, -135.3437, -0.9366986, 3.027179
A.D. 2023-Jan-10 00:00:00.0000 TDB, -135.3279, -1.060198, 2.974436
A.D. 2023-Jan-11 00:00:00.0000 TDB, -135.312, -1.183655, 2.921706
A.D. 2023-Jan-12 00:00:00.0000 TDB, -135.2958, -1.307072, 2.868988
A.D. 2023-Jan-13 00:00:00.0000 TDB, -135.2795, -1.430447, 2.816284
A.D. 2023-Jan-14 00:00:00.0000 TDB, -135.2629, -1.55378, 2.763592
A.D. 2023-Jan-15 00:00:00.0000 TDB, -135.2462, -1.677071, 2.710913
A.D. 2023-Jan-16 00:00:00.0000 TDB, -135.2293, -1.800321, 2.658248
A.D. 2023-Jan-17 00:00:00.0000 TDB, -135.2122, -1.923529, 2.605595
A.D. 2023-Jan-18 00:00:00.0000 TDB, -135.1949, -2.046694, 2.552956
A.D. 2023-Jan-19 00:00:00.0000 TDB, -135.1774, -2.169817, 2.50033
A.D. 2023-Jan-20 00:00:00.0000 TDB, -135.1598, -2.292897, 2.447717
A.D. 2023-Jan-21 00:00:00.0000 TDB, -135.1419, -2.415934, 2.395117
A.D. 2023-Jan-22 00:00:00.0000 TDB, -135.1239, -2.538928, 2.342531
A.D. 2023-Jan-23 00:00:00.0000 TDB, -135.1057, -2.661878, 2.289958
A.D. 2023-Jan-24 00:00:00.0000 TDB, -135.0873, -2.784784, 2.237399
A.D. 2023-Jan-25 00:00:00.0000 TDB, -135.0687, -2.907646, 2.184853
A.D. 2023-Jan-26 00:00:00.0000 TDB, -135.0499, -3.030463, 2.132322
A.D. 2023-Jan-27 00:00:00.0000 TDB, -135.0309, -3.153235, 2.079804
A.D. 2023-Jan-28 00:00:00.0000 TDB, -135.0118, -3.275961, 2.027301
A.D. 2023-Jan-29 00:00:00.0000 TDB, -134.9924, -3.398641, 1.974812
A.D. 2023-Jan-30 00:00:00.0000 TDB, -134.9729, -3.521274, 1.922338
A.D. 2023-Jan-31 00:00:00.0000 TDB, -134.9532, -3.643861, 1.869878
A.D. 2023-Feb-01 00:00:00.0000 TDB, -134.9333, -3.766399, 1.817434
A.D. 2023-Feb-02 00:00:00.0000 TDB, -134.9132, -3.88889, 1.765004
A.D. 2023-Feb-03 00:00:00.0000 TDB, -134.8929, -4.011332, 1.71259
A.D. 2023-Feb-04 00:00:00.0000 TDB, -134.8725, -4.133725, 1.660191
A.D. 2023-Feb-05 00:00:00.0000 TDB, -134.8518, -4.256069, 1.607808
A.D. 2023-Feb-06 00:00:00.0000 TDB, -134.831, -4.378363, 1.555441
A.D. 2023-Feb-07 00:00:00.0000 TDB, -134.81, -4.500606, 1.503091
A.D. 2023-Feb-08 00:00:00.0000 TDB, -134.7888, -4.622797, 1.450756
A.D. 2023-Feb-09 00:00:00.0000 TDB, -134.7674, -4.744937, 1.398438
