Date, X, Y, Z
A.D. 1900-Jan-01 00:00:00.0000 TDB, 22709.86, 168609, 413316.6
A.D. 1900-Jan-02 00:00:00.0000 TDB, 22662.68, 168611, 413318.7
A.D. 1900-Jan-03 00:00:00.0000 TDB, 22615.5, 168613.1, 413320.8
A.D. 1900-Jan-04 00:00:00.0000 TDB, 22568.34, 168615.1, 413322.8
A.D. 1900-Jan-05 00:00:00.0000 TDB, 22521.17, 168617.1, 413324.8
A.D. 1900-Jan-06 00:00:00.0000 TDB, 22474, 168619.1, 413326.9
A.D. 1900-Jan-07 00:00:00.0000 TDB, 22426.83, 168621.1, 413328.9
A.D. 1900-Jan-08 00:00:00.0000 TDB, 22379.65, 168623.1, 413330.9
A.D. 1900-Jan-09 00:00:00.0000 TDB, 22332.47, 168625.1, 413333
A.D. 1900-Jan-10 00:00:00.0000 TDB, 22285.3, 168627.1, 413335
A.D. 1900-Jan-11 00:00:00.0000 TDB, 22238.13, 168629.1, 413337
A.D. 1900-Jan-12 00:00:00.0000 TDB, 22190.96, 168631.1, 413339
A.D. 1900-Jan-13 00:00:00.0000 TDB, 22143.79, 168633.1, 413341
A.D. 1900-Jan-14 00:00:00.0000 TDB, 22096.61, 168635.1, 413343
A.D. 1900-Jan-15 00:00:00.0000 TDB, 22049.43, 168637.1, 413345
A.D. 1900-Jan-16 00:00:00.0000 TDB, 22002.26, 168639.1, 413347
A.D. 1900-Jan-17 00:00:00.0000 TDB, 21955.09, 168641.1, 413349
A.D. 1900-Jan-18 00:00:00.0000 TDB, 21907.92, 168643, 413351
A.D. 1900-Jan-19 00:00:00.0000 TDB, 21860.74, 168645, 413353
A.D. 1900-Jan-20 00:00:00.0000 TDB, 21813.55, 168647, 413354.9
A.D. 1900-Jan-21 00:00:00.0000 TDB, 21766.38, 168649, 413356.9
A.D. 1900-Jan-22 00:00:00.0000 TDB, 21719.21, 168651, 413358.9
A.D. 1900-Jan-23 00:00:00.0000 TDB, 21672.04, 168653, 413360.8
A.D. 1900-Jan-24 00:00:00.0000 TDB, 21624.86, 168654.9, 413362.8
