Date, X, Y, Z
A.D. 1900-Jan-01 00:00:00.0000 TDB, -96881.1, -105959.4, -245062.1
A.D. 1900-Jan-02 00:00:00.0000 TDB, -96826.25, -105969.3, -245082.7
A.D. 1900-Jan-03 00:00:00.0000 TDB, -96771.38, -105979, -245103.3
A.D. 1900-Jan-04 00:00:00.0000 TDB, -96716.52, -105988.8, -245123.9
A.D. 1900-Jan-05 00:00:00.0000 TDB, -96661.64, -105998.6, -245144.4
A.D. 1900-Jan-06 00:00:00.0000 TDB, -96606.77, -106008.4, -245165
A.D. 1900-Jan-07 00:00:00.0000 TDB, -96551.88, -106018.2, -245185.5
A.D. 1900-Jan-08 00:00:00.0000 TDB, -96497, -106028, -245206.1
A.D. 1900-Jan-09 00:00:00.0000 TDB, -96442.11, -106037.7, -245226.6
A.D. 1900-Jan-10 00:00:00.0000 TDB, -96387.22, -106047.5, -245247.1
A.D. 1900-Jan-11 00:00:00.0000 TDB, -96332.32, -106057.3, -245267.6
A.D. 1900-Jan-12 00:00:00.0000 TDB, -96277.42, -106067, -245288.1
A.D. 1900-Jan-13 00:00:00.0000 TDB, -96222.52, -106076.8, -245308.6
A.D. 1900-Jan-14 00:00:00.0000 TDB, -96167.6, -106086.5, -245329.1
A.D. 1900-Jan-15 00:00:00.0000 TDB, -96112.69, -106096.3, -245349.6
A.D. 1900-Jan-16 00:00:00.0000 TDB, -96057.77, -106106, -245370
A.D. 1900-Jan-17 00:00:00.0000 TDB, -96002.85, -106115.7, -245390.5
A.D. 1900-Jan-18 00:00:00.0000 TDB, -95947.93, -106125.5, -245410.9
A.D. 1900-Jan-19 00:00:00.0000 TDB, -95893, -106135.2, -245431.3
A.D. 1900-Jan-20 00:00:00.0000 TDB, -95838.07, -106144.9, -245451.7
A.D. 1900-Jan-21 00:00:00.0000 TDB, -95783.13, -106154.6, -245472.1
A.D. 1900-Jan-22 00:00:00.0000 TDB, -95728.18, -106164.3, -245492.5
A.D. 1900-Jan-23 00:00:00.0000 TDB, -95673.23, -106174, -245512.9
A.D. 1900-Jan-24 00:00:00.0000 TDB, -95618.28, -106183.7, -245533.3
A.D. 1900-Jan-25 00:00:00.0000 TDB, -95563.33, -106193.4, -245553.6
A.D. 1900-Jan-26 00:00:00.0000 TDB, -95508.37, -106203.1, -245574
A.D. 1900-Jan-27 00:00:00.0000 TDB, -95453.41, -106212.8, -245594.3
A.D. 1900-Jan-28 00:00:00.0000 TDB, -95398.44, -106222.5, -245614.7
A.D. 1900-Jan-29 00:00:00.0000 TDB, -95343.47, -106232.2, -245635
A.D. 1900-Jan-30 00:00:00.0000 TDB, -95288.49, -106241.9, -245655.3
A.D. 1900-Jan-31 00:00:00.0000 TDB, -95233.51, -106251.5, -245675.6
A.D. 1900-Feb-01 00:00:00.0000 TDB, -95178.53, -106261.2, -245695.9
A.D. 1900-Feb-02 00:00:00.0000 TDB, -95123.54, -106270.9, -245716.1
A.D. 1900-Feb-03 00:00:00.0000 TDB, -95068.55, -106280.5, -245736.4
A.D. 1900-Feb-04 00:00:00.0000 TDB, -95013.55, -106290.2, -245756.6
A.D. 1900-Feb-05 00:00:00.0000 TDB, -94958.55, -106299.8, -245776.9
A.D. 1900-Feb-06 00:00:00.0000 TDB, -94903.55, -106309.4, -245797.1
A.D. 1900-Feb-07 00:00:00.0000 TDB, -94848.54, -106319.1, -245817.3
A.D. 1900-Feb-08 00:00:00.0000 TDB, -94793.52, -106328.7, -245837.6
A.D. 1900-Feb-09 00:00:00.0000 TDB, -94738.5, -106338.3, -245857.8
A.D. 1900-Feb-10 00:00:00.0000 TDB, -94683.48, -106348, -245877.9
A.D. 1900-Feb-11 00:00:00.0000 TDB, -94628.45, -106357.6, -245898.1
A.D. 1900-Feb-12 00:00:00.0000 TDB, -94573.43, -106367.2, -245918.3
A.D. 1900-Feb-13 00:00:00.0000 TDB, -94518.4, -106376.8, -245938.5
A.D. 1900-Feb-14 00:00:00.0000 TDB, -94463.36, -106386.4, -245958.6
A.D. 1900-Feb-15 00:00:00.0000 TDB, -94408.32, -106396, -245978.7
A.D. 1900-Feb-16 00:00:00.0000 TDB, -94353.27, -106405.6, -245998.9
A.D. 1900-Feb-17 00:00:00.0000 TDB, -94298.23, -106415.2, -246019
A.D. 1900-Feb-18 00:00:00.0000 TDB, -94243.17, -106424.8, -246039.1
A.D. 1900-Feb-19 00:00:00.0000 TDB, -94188.11, -106434.4, -246059.2
A.D. 1900-Feb-20 00:00:00.0000 TDB, -94133.05, -106443.9, -246079.3
A.D. 1900-Feb-21 00:00:00.0000 TDB, -94077.98, -106453.5, -246099.3
A.D. 1900-Feb-22 00:00:00.0000 TDB, -94022.91, -106463.1, -246119.4
A.D. 1900-Feb-23 00:00:00.0000 TDB, -93967.84, -106472.7, -246139.4
A.D. 1900-Feb-24 00:00:00.0000 TDB, -93912.76, -106482.2, -246159.5
A.D. 1900-Feb-25 00:00:00.0000 TDB, -93857.68, -106491.8, -246179.5
A.D. 1900-Feb-26 00:00:00.0000 TDB, -93802.59, -106501.3, -246199.5
A.D. 1900-Feb-27 00:00:00.0000 TDB, -93747.5, -106510.9, -246219.5
A.D. 1900-Feb-28 00:00:00.0000 TDB, -93692.41, -106520.4, -246239.5
A.D. 1900-Mar-01 00:00:00.0000 TDB, -93637.31, -106529.9, -246259.5
A.D. 1900-Mar-02 00:00:00.0000 TDB, -93582.21, -106539.5, -246279.5
A.D. 1900-Mar-03 00:00:00.0000 TDB, -93527.1, -106549, -246299.5
A.D. 1900-Mar-04 00:00:00.0000 TDB, -93471.99, -106558.5, -246319.4
A.D. 1900-Mar-05 00:00:00.0000 TDB, -93416.88, -106568, -246339.4
A.D. 1900-Mar-06 00:00:00.0000 TDB, -93361.75, -106577.5, -246359.3
A.D. 1900-Mar-07 00:00:00.0000 TDB, -93306.63, -106587.1, -246379.2
A.D. 1900-Mar-08 00:00:00.0000 TDB, -93251.5, -106596.6, -246399.2
A.D. 1900-Mar-09 00:00:00.0000 TDB, -93196.38, -106606.1, -246419
A.D. 1900-Mar-10 00:00:00.0000 TDB, -93141.23, -106615.6, -246438.9
