Date, X, Y, Z
A.D. 1900-Jan-01 00:00:00.0000 TDB, -5442.126, -57187.83, -139106.3
A.D. 1900-Jan-02 00:00:00.0000 TDB, -5363.349, -57191.96, -139108.2
A.D. 1900-Jan-03 00:00:00.0000 TDB, -5284.567, -57196.08, -139110
A.D. 1900-Jan-04 00:00:00.0000 TDB, -5205.78, -57200.18, -139111.7
A.D. 1900-Jan-05 00:00:00.0000 TDB, -5126.986, -57204.27, -139113.5
A.D. 1900-Jan-06 00:00:00.0000 TDB, -5048.187, -57208.33, -139115.1
A.D. 1900-Jan-07 00:00:00.0000 TDB, -4969.384, -57212.39, -139116.8
A.D. 1900-Jan-08 00:00:00.0000 TDB, -4890.578, -57216.43, -139118.4
A.D. 1900-Jan-09 00:00:00.0000 TDB, -4811.769, -57220.45, -139119.9
A.D. 1900-Jan-10 00:00:00.0000 TDB, -4732.959, -57224.45, -139121.4
A.D. 1900-Jan-11 00:00:00.0000 TDB, -4654.151, -57228.44, -139122.9
A.D. 1900-Jan-12 00:00:00.0000 TDB, -4575.347, -57232.41, -139124.3
A.D. 1900-Jan-13 00:00:00.0000 TDB, -4496.544, -57236.36, -139125.7
A.D. 1900-Jan-14 00:00:00.0000 TDB, -4417.745, -57240.3, -139127
A.D. 1900-Jan-15 00:00:00.0000 TDB, -4338.948, -57244.22, -139128.3
A.D. 1900-Jan-16 00:00:00.0000 TDB, -4260.152, -57248.12, -139129.6
A.D. 1900-Jan-17 00:00:00.0000 TDB, -4181.356, -57252.01, -139130.8
A.D. 1900-Jan-18 00:00:00.0000 TDB, -4102.557, -57255.88, -139132
A.D. 1900-Jan-19 00:00:00.0000 TDB, -4023.754, -57259.73, -139133.1
A.D. 1900-Jan-20 00:00:00.0000 TDB, -3944.945, -57263.57, -139134.3
A.D. 1900-Jan-21 00:00:00.0000 TDB, -3866.132, -57267.39, -139135.3
A.D. 1900-Jan-22 00:00:00.0000 TDB, -3787.313, -57271.19, -139136.4
A.D. 1900-Jan-23 00:00:00.0000 TDB, -3708.489, -57274.98, -139137.4
A.D. 1900-Jan-24 00:00:00.0000 TDB, -3629.663, -57278.75, -139138.3
A.D. 1900-Jan-25 00:00:00.0000 TDB, -3550.835, -57282.5, -139139.2
A.D. 1900-Jan-26 00:00:00.0000 TDB, -3472.008, -57286.23, -139140.1
A.D. 1900-Jan-27 00:00:00.0000 TDB, -3393.182, -57289.96, -139140.9
A.D. 1900-Jan-28 00:00:00.0000 TDB, -3314.359, -57293.66, -139141.7
A.D. 1900-Jan-29 00:00:00.0000 TDB, -3235.54, -57297.35, -139142.4
A.D. 1900-Jan-30 00:00:00.0000 TDB, -3156.724, -57301.02, -139143.1
A.D. 1900-Jan-31 00:00:00.0000 TDB, -3077.91, -57304.67, -139143.7
A.D. 1900-Feb-01 00:00:00.0000 TDB, -2999.098, -57308.31, -139144.3
A.D. 1900-Feb-02 00:00:00.0000 TDB, -2920.286, -57311.92, -139144.9
A.D. 1900-Feb-03 00:00:00.0000 TDB, -2841.471, -57315.53, -139145.5
A.D. 1900-Feb-04 00:00:00.0000 TDB, -2762.653, -57319.12, -139146
A.D. 1900-Feb-05 00:00:00.0000 TDB, -2683.829, -57322.68, -139146.4
A.D. 1900-Feb-06 00:00:00.0000 TDB, -2605, -57326.23, -139146.9
A.D. 1900-Feb-07 00:00:00.0000 TDB, -2526.167, -57329.77, -139147.3
A.D. 1900-Feb-08 00:00:00.0000 TDB, -2447.33, -57333.29, -139147.6
A.D. 1900-Feb-09 00:00:00.0000 TDB, -2368.49, -57336.79, -139147.9
A.D. 1900-Feb-10 00:00:00.0000 TDB, -2289.649, -57340.28, -139148.2
A.D. 1900-Feb-11 00:00:00.0000 TDB, -2210.809, -57343.76, -139148.4
A.D. 1900-Feb-12 00:00:00.0000 TDB, -2131.972, -57347.21, -139148.5
A.D. 1900-Feb-13 00:00:00.0000 TDB, -2053.137, -57350.65, -139148.7
A.D. 1900-Feb-14 00:00:00.0000 TDB, -1974.306, -57354.07, -139148.7
A.D. 1900-Feb-15 00:00:00.0000 TDB, -1895.479, -57357.47, -139148.8
A.D. 1900-Feb-16 00:00:00.0000 TDB, -1816.655, -57360.86, -139148.8
A.D. 1900-Feb-17 00:00:00.0000 TDB, -1737.833, -57364.22, -139148.8
A.D. 1900-Feb-18 00:00:00.0000 TDB, -1659.01, -57367.58, -139148.7
A.D. 1900-Feb-19 00:00:00.0000 TDB, -1580.185, -57370.91, -139148.6
A.D. 1900-Feb-20 00:00:00.0000 TDB, -1501.357, -57374.23, -139148.4
A.D. 1900-Feb-21 00:00:00.0000 TDB, -1422.524, -57377.54, -139148.3
A.D. 1900-Feb-22 00:00:00.0000 TDB, -1343.687, -57380.82, -139148
A.D. 1900-Feb-23 00:00:00.0000 TDB, -1264.845, -57384.09, -139147.8
A.D. 1900-Feb-24 00:00:00.0000 TDB, -1185.999, -57387.34, -139147.5
A.D. 1900-Feb-25 00:00:00.0000 TDB, -1107.151, -57390.58, -139147.1
A.D. 1900-Feb-26 00:00:00.0000 TDB, -1028.304, -57393.8, -139146.7
A.D. 1900-Feb-27 00:00:00.0000 TDB, -949.4573, -57397, -139146.3
A.D. 1900-Feb-28 00:00:00.0000 TDB, -870.6131, -57400.19, -139145.8
A.D. 1900-Mar-01 00:00:00.0000 TDB, -791.7721, -57403.36, -139145.3
A.D. 1900-Mar-02 00:00:00.0000 TDB, -712.9357, -57406.52, -139144.7
A.D. 1900-Mar-03 00:00:00.0000 TDB, -634.1036, -57409.65, -139144.1
A.D. 1900-Mar-04 00:00:00.0000 TDB, -555.2745, -57412.77, -139143.5
A.D. 1900-Mar-05 00:00:00.0000 TDB, -476.447, -57415.87, -139142.8
A.D. 1900-Mar-06 00:00:00.0000 TDB, -397.62, -57418.96, -139142.1
A.D. 1900-Mar-07 00:00:00.0000 TDB, -318.7914, -57422.03, -139141.3
A.D. 1900-Mar-08 00:00:00.0000 TDB, -239.9596, -57425.08, -139140.6
A.D. 1900-Mar-09 00:00:00.0000 TDB, -161.123, -57428.11, -139139.7
A.D. 1900-Mar-10 00:00:00.0000 TDB, -82.28186, -57431.13, -139138.9
A.D. 1900-Mar-11 00:00:00.0000 TDB, -3.437292, -57434.14, -139138
A.D. 1900-Mar-12 00:00:00.0000 TDB, 75.41032, -57437.12, -139137
A.D. 1900-Mar-13 00:00:00.0000 TDB, 154.2596, -57440.09, -139136
A.D. 1900-Mar-14 00:00:00.0000 TDB, 233.1091, -57443.05, -139135
A.D. 1900-Mar-15 00:00:00.0000 TDB, 311.957, -57445.98, -139133.9
A.D. 1900-Mar-16 00:00:00.0000 TDB, 390.8015, -57448.9, -139132.8
A.D. 1900-Mar-17 00:00:00.0000 TDB, 469.642, -57451.81, -139131.6
A.D. 1900-Mar-18 00:00:00.0000 TDB, 548.4786, -57454.7, -139130.4
A.D. 1900-Mar-19 00:00:00.0000 TDB, 627.3105, -57457.56, -139129.1
A.D. 1900-Mar-20 00:00:00.0000 TDB, 706.1387, -57460.41, -139127.8
A.D. 1900-Mar-21 00:00:00.0000 TDB, 784.9645, -57463.25, -139126.5
A.D. 1900-Mar-22 00:00:00.0000 TDB, 863.7899, -57466.07, -139125.1
A.D. 1900-Mar-23 00:00:00.0000 TDB, 942.6173, -57468.86, -139123.8
A.D. 1900-Mar-24 00:00:00.0000 TDB, 1021.448, -57471.65, -139122.3
A.D. 1900-Mar-25 00:00:00.0000 TDB, 1100.281, -57474.42, -139120.8
A.D. 1900-Mar-26 00:00:00.0000 TDB, 1179.119, -57477.17, -139119.3
A.D. 1900-Mar-27 00:00:00.0000 TDB, 1257.961, -57479.9, -139117.8
A.D. 1900-Mar-28 00:00:00.0000 TDB, 1336.805, -57482.63, -139116.2
A.D. 1900-Mar-29 00:00:00.0000 TDB, 1415.651, -57485.32, -139114.5
A.D. 1900-Mar-30 00:00:00.0000 TDB, 1494.495, -57488.01, -139112.8
A.D. 1900-Mar-31 00:00:00.0000 TDB, 1573.338, -57490.68, -139111.1
A.D. 1900-Apr-01 00:00:00.0000 TDB, 1652.177, -57493.34, -139109.3
A.D. 1900-Apr-02 00:00:00.0000 TDB, 1731.012, -57495.97, -139107.5
A.D. 1900-Apr-03 00:00:00.0000 TDB, 1809.842, -57498.59, -139105.7
A.D. 1900-Apr-04 00:00:00.0000 TDB, 1888.667, -57501.19, -139103.8
