Date, X, Y, Z
A.D. 1900-Jan-01 00:00:00.0000 TDB, 47.61964, 36.46715, 87.99405
A.D. 1900-Jan-02 00:00:00.0000 TDB, 47.50962, 36.49204, 88.04488
A.D. 1900-Jan-03 00:00:00.0000 TDB, 47.39954, 36.51688, 88.09559
A.D. 1900-Jan-04 00:00:00.0000 TDB, 47.28938, 36.54166, 88.14617
A.D. 1900-Jan-05 00:00:00.0000 TDB, 47.17916, 36.56641, 88.19665
A.D. 1900-Jan-06 00:00:00.0000 TDB, 47.06887, 36.59109, 88.24701
A.D. 1900-Jan-07 00:00:00.0000 TDB, 46.95852, 36.61574, 88.29725
A.D. 1900-Jan-08 00:00:00.0000 TDB, 46.84809, 36.64034, 88.34737
A.D. 1900-Jan-09 00:00:00.0000 TDB, 46.7376, 36.66488, 88.39738
A.D. 1900-Jan-10 00:00:00.0000 TDB, 46.62704, 36.68937, 88.44727
A.D. 1900-Jan-11 00:00:00.0000 TDB, 46.51641, 36.71382, 88.49705
A.D. 1900-Jan-12 00:00:00.0000 TDB, 46.40572, 36.73822, 88.54671
A.D. 1900-Jan-13 00:00:00.0000 TDB, 46.29496, 36.76257, 88.59626
A.D. 1900-Jan-14 00:00:00.0000 TDB, 46.18413, 36.78687, 88.64569
A.D. 1900-Jan-15 00:00:00.0000 TDB, 46.07323, 36.81112, 88.69501
A.D. 1900-Jan-16 00:00:00.0000 TDB, 45.96228, 36.83532, 88.74421
A.D. 1900-Jan-17 00:00:00.0000 TDB, 45.85125, 36.85949, 88.7933
A.D. 1900-Jan-18 00:00:00.0000 TDB, 45.74015, 36.88359, 88.84228
A.D. 1900-Jan-19 00:00:00.0000 TDB, 45.62899, 36.90765, 88.89114
A.D. 1900-Jan-20 00:00:00.0000 TDB, 45.51776, 36.93167, 88.9399
A.D. 1900-Jan-21 00:00:00.0000 TDB, 45.40647, 36.95563, 88.98853
A.D. 1900-Jan-22 00:00:00.0000 TDB, 45.2951, 36.97955, 89.03705
A.D. 1900-Jan-23 00:00:00.0000 TDB, 45.18367, 37.00342, 89.08546
