Date, X, Y, Z
A.D. 1900-Jan-01 00:00:00.0000 TDB, -2897.776, 5771.987, 13309.06
A.D. 1900-Jan-02 00:00:00.0000 TDB, -3153.899, 5750.211, 13258.89
A.D. 1900-Jan-03 00:00:00.0000 TDB, -3409.016, 5726.648, 13204.6
A.D. 1900-Jan-04 00:00:00.0000 TDB, -3663.043, 5701.306, 13146.21
A.D. 1900-Jan-05 00:00:00.0000 TDB, -3915.894, 5674.194, 13083.74
A.D. 1900-Jan-06 00:00:00.0000 TDB, -4167.488, 5645.326, 13017.2
A.D. 1900-Jan-07 00:00:00.0000 TDB, -4417.744, 5614.711, 12946.64
A.D. 1900-Jan-08 00:00:00.0000 TDB, -4666.584, 5582.362, 12872.07
A.D. 1900-Jan-09 00:00:00.0000 TDB, -4913.932, 5548.293, 12793.53
A.D. 1900-Jan-10 00:00:00.0000 TDB, -5159.713, 5512.515, 12711.05
A.D. 1900-Jan-11 00:00:00.0000 TDB, -5403.857, 5475.041, 12624.66
A.D. 1900-Jan-12 00:00:00.0000 TDB, -5646.291, 5435.884, 12534.38
A.D. 1900-Jan-13 00:00:00.0000 TDB, -5886.946, 5395.057, 12440.25
A.D. 1900-Jan-14 00:00:00.0000 TDB, -6125.751, 5352.572, 12342.3
A.D. 1900-Jan-15 00:00:00.0000 TDB, -6362.64, 5308.444, 12240.56
A.D. 1900-Jan-16 00:00:00.0000 TDB, -6597.542, 5262.684, 12135.07
A.D. 1900-Jan-17 00:00:00.0000 TDB, -6830.391, 5215.307, 12025.85
A.D. 1900-Jan-18 00:00:00.0000 TDB, -7061.117, 5166.324, 11912.93
A.D. 1900-Jan-19 00:00:00.0000 TDB, -7289.653, 5115.752, 11796.36
A.D. 1900-Jan-20 00:00:00.0000 TDB, -7515.93, 5063.605, 11676.15
A.D. 1900-Jan-21 00:00:00.0000 TDB, -7739.881, 5009.896, 11552.36
A.D. 1900-Jan-22 00:00:00.0000 TDB, -7961.437, 4954.642, 11425
A.D. 1900-Jan-23 00:00:00.0000 TDB, -8180.53, 4897.858, 11294.12
A.D. 1900-Jan-24 00:00:00.0000 TDB, -8397.092, 4839.561, 11159.76
A.D. 1900-Jan-25 00:00:00.0000 TDB, -8611.056, 4779.768, 11021.96
A.D. 1900-Jan-26 00:00:00.0000 TDB, -8822.351, 4718.497, 10880.75
A.D. 1900-Jan-27 00:00:00.0000 TDB, -9030.91, 4655.764, 10736.17
A.D. 1900-Jan-28 00:00:00.0000 TDB, -9236.666, 4591.592, 10588.28
A.D. 1900-Jan-29 00:00:00.0000 TDB, -9439.548, 4525.999, 10437.11
A.D. 1900-Jan-30 00:00:00.0000 TDB, -9639.489, 4459.005, 10282.71
A.D. 1900-Jan-31 00:00:00.0000 TDB, -9836.422, 4390.636, 10125.13
A.D. 1900-Feb-01 00:00:00.0000 TDB, -10030.28, 4320.914, 9964.433
A.D. 1900-Feb-02 00:00:00.0000 TDB, -10221, 4249.863, 9800.665
A.D. 1900-Feb-03 00:00:00.0000 TDB, -10408.52, 4177.509, 9633.887
A.D. 1900-Feb-04 00:00:00.0000 TDB, -10592.79, 4103.877, 9464.157
A.D. 1900-Feb-05 00:00:00.0000 TDB, -10773.74, 4028.995, 9291.538
A.D. 1900-Feb-06 00:00:00.0000 TDB, -10951.34, 3952.887, 9116.09
