Date, X, Y, Z
A.D. 1900-Jan-01 00:00:00.0000 TDB, -45071.69, -25326.94, -61640.24
A.D. 1900-Jan-02 00:00:00.0000 TDB, -44979.49, -25351.63, -61692.59
A.D. 1900-Jan-03 00:00:00.0000 TDB, -44887.21, -25376.27, -61744.82
A.D. 1900-Jan-04 00:00:00.0000 TDB, -44794.84, -25400.88, -61796.95
A.D. 1900-Jan-05 00:00:00.0000 TDB, -44702.37, -25425.43, -61848.95
A.D. 1900-Jan-06 00:00:00.0000 TDB, -44609.82, -25449.93, -61900.84
A.D. 1900-Jan-07 00:00:00.0000 TDB, -44517.18, -25474.39, -61952.6
A.D. 1900-Jan-08 00:00:00.0000 TDB, -44424.45, -25498.79, -62004.24
A.D. 1900-Jan-09 00:00:00.0000 TDB, -44331.65, -25523.15, -62055.77
A.D. 1900-Jan-10 00:00:00.0000 TDB, -44238.77, -25547.45, -62107.18
A.D. 1900-Jan-11 00:00:00.0000 TDB, -44145.8, -25571.72, -62158.48
A.D. 1900-Jan-12 00:00:00.0000 TDB, -44052.74, -25595.93, -62209.65
A.D. 1900-Jan-13 00:00:00.0000 TDB, -43959.59, -25620.09, -62260.7
A.D. 1900-Jan-14 00:00:00.0000 TDB, -43866.36, -25644.2, -62311.64
A.D. 1900-Jan-15 00:00:00.0000 TDB, -43773.05, -25668.26, -62362.45
A.D. 1900-Jan-16 00:00:00.0000 TDB, -43679.67, -25692.27, -62413.14
A.D. 1900-Jan-17 00:00:00.0000 TDB, -43586.21, -25716.24, -62463.71
A.D. 1900-Jan-18 00:00:00.0000 TDB, -43492.66, -25740.16, -62514.18
A.D. 1900-Jan-19 00:00:00.0000 TDB, -43399.03, -25764.03, -62564.53
A.D. 1900-Jan-20 00:00:00.0000 TDB, -43305.3, -25787.85, -62614.76
A.D. 1900-Jan-21 00:00:00.0000 TDB, -43211.5, -25811.62, -62664.86
A.D. 1900-Jan-22 00:00:00.0000 TDB, -43117.61, -25835.34, -62714.86
A.D. 1900-Jan-23 00:00:00.0000 TDB, -43023.65, -25859.01, -62764.72
A.D. 1900-Jan-24 00:00:00.0000 TDB, -42929.61, -25882.64, -62814.46
A.D. 1900-Jan-25 00:00:00.0000 TDB, -42835.48, -25906.22, -62864.1
A.D. 1900-Jan-26 00:00:00.0000 TDB, -42741.27, -25929.74, -62913.61
A.D. 1900-Jan-27 00:00:00.0000 TDB, -42646.96, -25953.22, -62963.01
A.D. 1900-Jan-28 00:00:00.0000 TDB, -42552.59, -25976.65, -63012.27
A.D. 1900-Jan-29 00:00:00.0000 TDB, -42458.11, -26000.02, -63061.42
A.D. 1900-Jan-30 00:00:00.0000 TDB, -42363.58, -26023.35, -63110.44
A.D. 1900-Jan-31 00:00:00.0000 TDB, -42268.96, -26046.62, -63159.34
A.D. 1900-Feb-01 00:00:00.0000 TDB, -42174.28, -26069.85, -63208.13
A.D. 1900-Feb-02 00:00:00.0000 TDB, -42079.5, -26093.03, -63256.79
A.D. 1900-Feb-03 00:00:00.0000 TDB, -41984.64, -26116.16, -63305.34
A.D. 1900-Feb-04 00:00:00.0000 TDB, -41889.71, -26139.23, -63353.77
A.D. 1900-Feb-05 00:00:00.0000 TDB, -41794.68, -26162.26, -63402.07
A.D. 1900-Feb-06 00:00:00.0000 TDB, -41699.59, -26185.24, -63450.25
A.D. 1900-Feb-07 00:00:00.0000 TDB, -41604.42, -26208.17, -63498.31
A.D. 1900-Feb-08 00:00:00.0000 TDB, -41509.18, -26231.05, -63546.26
A.D. 1900-Feb-09 00:00:00.0000 TDB, -41413.84, -26253.88, -63594.09
A.D. 1900-Feb-10 00:00:00.0000 TDB, -41318.42, -26276.67, -63641.8
A.D. 1900-Feb-11 00:00:00.0000 TDB, -41222.92, -26299.39, -63689.38
A.D. 1900-Feb-12 00:00:00.0000 TDB, -41127.34, -26322.08, -63736.84
A.D. 1900-Feb-13 00:00:00.0000 TDB, -41031.68, -26344.7, -63784.17
A.D. 1900-Feb-14 00:00:00.0000 TDB, -40935.95, -26367.27, -63831.37
A.D. 1900-Feb-15 00:00:00.0000 TDB, -40840.15, -26389.8, -63878.46
A.D. 1900-Feb-16 00:00:00.0000 TDB, -40744.27, -26412.28, -63925.43
A.D. 1900-Feb-17 00:00:00.0000 TDB, -40648.3, -26434.71, -63972.28
A.D. 1900-Feb-18 00:00:00.0000 TDB, -40552.26, -26457.08, -64019.01
A.D. 1900-Feb-19 00:00:00.0000 TDB, -40456.13, -26479.41, -64065.61
A.D. 1900-Feb-20 00:00:00.0000 TDB, -40359.94, -26501.68, -64112.08
A.D. 1900-Feb-21 00:00:00.0000 TDB, -40263.67, -26523.9, -64158.43
A.D. 1900-Feb-22 00:00:00.0000 TDB, -40167.34, -26546.08, -64204.66
A.D. 1900-Feb-23 00:00:00.0000 TDB, -40070.91, -26568.2, -64250.79
A.D. 1900-Feb-24 00:00:00.0000 TDB, -39974.41, -26590.28, -64296.78
A.D. 1900-Feb-25 00:00:00.0000 TDB, -39877.83, -26612.3, -64342.65
A.D. 1900-Feb-26 00:00:00.0000 TDB, -39781.17, -26634.28, -64388.4
A.D. 1900-Feb-27 00:00:00.0000 TDB, -39684.43, -26656.19, -64434.02
A.D. 1900-Feb-28 00:00:00.0000 TDB, -39587.62, -26678.06, -64479.51
A.D. 1900-Mar-01 00:00:00.0000 TDB, -39490.75, -26699.88, -64524.89
A.D. 1900-Mar-02 00:00:00.0000 TDB, -39393.78, -26721.65, -64570.14
A.D. 1900-Mar-03 00:00:00.0000 TDB, -39296.75, -26743.37, -64615.28
A.D. 1900-Mar-04 00:00:00.0000 TDB, -39199.63, -26765.03, -64660.27
A.D. 1900-Mar-05 00:00:00.0000 TDB, -39102.44, -26786.64, -64705.16
A.D. 1900-Mar-06 00:00:00.0000 TDB, -39005.17, -26808.2, -64749.9
A.D. 1900-Mar-07 00:00:00.0000 TDB, -38907.84, -26829.7, -64794.52
A.D. 1900-Mar-08 00:00:00.0000 TDB, -38810.45, -26851.16, -64839.03
A.D. 1900-Mar-09 00:00:00.0000 TDB, -38712.96, -26872.57, -64883.41
A.D. 1900-Mar-10 00:00:00.0000 TDB, -38615.42, -26893.93, -64927.67
A.D. 1900-Mar-11 00:00:00.0000 TDB, -38517.79, -26915.23, -64971.81
A.D. 1900-Mar-12 00:00:00.0000 TDB, -38420.08, -26936.49, -65015.83
A.D. 1900-Mar-13 00:00:00.0000 TDB, -38322.29, -26957.69, -65059.71
A.D. 1900-Mar-14 00:00:00.0000 TDB, -38224.44, -26978.84, -65103.47
A.D. 1900-Mar-15 00:00:00.0000 TDB, -38126.53, -26999.94, -65147.11
A.D. 1900-Mar-16 00:00:00.0000 TDB, -38028.53, -27020.99, -65190.63
A.D. 1900-Mar-17 00:00:00.0000 TDB, -37930.46, -27041.98, -65234.02
A.D. 1900-Mar-18 00:00:00.0000 TDB, -37832.3, -27062.93, -65277.28
A.D. 1900-Mar-19 00:00:00.0000 TDB, -37734.08, -27083.82, -65320.42
A.D. 1900-Mar-20 00:00:00.0000 TDB, -37635.78, -27104.66, -65363.43
A.D. 1900-Mar-21 00:00:00.0000 TDB, -37537.41, -27125.44, -65406.3
A.D. 1900-Mar-22 00:00:00.0000 TDB, -37438.99, -27146.17, -65449.05
A.D. 1900-Mar-23 00:00:00.0000 TDB, -37340.49, -27166.85, -65491.69
A.D. 1900-Mar-24 00:00:00.0000 TDB, -37241.92, -27187.48, -65534.2
A.D. 1900-Mar-25 00:00:00.0000 TDB, -37143.27, -27208.06, -65576.58
A.D. 1900-Mar-26 00:00:00.0000 TDB, -37044.55, -27228.59, -65618.84
A.D. 1900-Mar-27 00:00:00.0000 TDB, -36945.75, -27249.06, -65660.96
A.D. 1900-Mar-28 00:00:00.0000 TDB, -36846.89, -27269.48, -65702.96
A.D. 1900-Mar-29 00:00:00.0000 TDB, -36747.97, -27289.85, -65744.83
A.D. 1900-Mar-30 00:00:00.0000 TDB, -36648.97, -27310.17, -65786.59
A.D. 1900-Mar-31 00:00:00.0000 TDB, -36549.9, -27330.43, -65828.23
A.D. 1900-Apr-01 00:00:00.0000 TDB, -36450.75, -27350.65, -65869.73
A.D. 1900-Apr-02 00:00:00.0000 TDB, -36351.53, -27370.81, -65911.11
A.D. 1900-Apr-03 00:00:00.0000 TDB, -36252.23, -27390.92, -65952.36
