Date, X, Y, Z
A.D. 1900-Mar-12 00:00:00.0000 TDB, -2600.465, 2166.52, 3562.944
A.D. 1900-Mar-13 00:00:00.0000 TDB, -3025.556, 2093.281, 3343.024
A.D. 1900-Mar-14 00:00:00.0000 TDB, -3425.171, 2002.939, 3096.039
A.D. 1900-Mar-15 00:00:00.0000 TDB, -3797.19, 1896.929, 2825.088
A.D. 1900-Mar-16 00:00:00.0000 TDB, -4139.983, 1776.743, 2533.281
A.D. 1900-Mar-17 00:00:00.0000 TDB, -4452.377, 1643.896, 2223.684
A.D. 1900-Mar-18 00:00:00.0000 TDB, -4733.603, 1499.893, 1899.266
A.D. 1900-Mar-19 00:00:00.0000 TDB, -4983.25, 1346.207, 1562.865
A.D. 1900-Mar-20 00:00:00.0000 TDB, -5201.222, 1184.261, 1217.163
A.D. 1900-Mar-21 00:00:00.0000 TDB, -5387.679, 1015.412, 864.6727
A.D. 1900-Mar-22 00:00:00.0000 TDB, -5543.001, 840.9473, 507.7304
A.D. 1900-Mar-23 00:00:00.0000 TDB, -5667.748, 662.0776, 148.4935
A.D. 1900-Mar-24 00:00:00.0000 TDB, -5762.62, 479.9348, -211.0546
A.D. 1900-Mar-25 00:00:00.0000 TDB, -5828.431, 295.573, -569.0986
A.D. 1900-Mar-26 00:00:00.0000 TDB, -5866.083, 109.9702, -923.9822
A.D. 1900-Mar-27 00:00:00.0000 TDB, -5876.543, -75.96803, -1274.198
A.D. 1900-Mar-28 00:00:00.0000 TDB, -5860.824, -261.4054, -1618.377
A.D. 1900-Mar-29 00:00:00.0000 TDB, -5819.971, -445.5702, -1955.278
A.D. 1900-Mar-30 00:00:00.0000 TDB, -5755.05, -627.7508, -2283.777
A.D. 1900-Mar-31 00:00:00.0000 TDB, -5667.139, -807.2916, -2602.854
A.D. 1900-Apr-01 00:00:00.0000 TDB, -5557.318, -983.5879, -2911.587
A.D. 1900-Apr-02 00:00:00.0000 TDB, -5426.665, -1156.082, -3209.144
A.D. 1900-Apr-03 00:00:00.0000 TDB, -5276.252, -1324.26, -3494.768
A.D. 1900-Apr-04 00:00:00.0000 TDB, -5107.141, -1487.644, -3767.776
A.D. 1900-Apr-05 00:00:00.0000 TDB, -4920.382, -1645.797, -4027.548
A.D. 1900-Apr-06 00:00:00.0000 TDB, -4717.015, -1798.308, -4273.521
A.D. 1900-Apr-07 00:00:00.0000 TDB, -4498.063, -1944.8, -4505.187
A.D. 1900-Apr-08 00:00:00.0000 TDB, -4264.537, -2084.921, -4722.083
A.D. 1900-Apr-09 00:00:00.0000 TDB, -4017.435, -2218.341, -4923.787
A.D. 1900-Apr-10 00:00:00.0000 TDB, -3757.745, -2344.754, -5109.917
A.D. 1900-Apr-11 00:00:00.0000 TDB, -3486.441, -2463.874, -5280.128
A.D. 1900-Apr-12 00:00:00.0000 TDB, -3204.489, -2575.431, -5434.101
A.D. 1900-Apr-13 00:00:00.0000 TDB, -2912.846, -2679.172, -5571.551
A.D. 1900-Apr-14 00:00:00.0000 TDB, -2612.463, -2774.859, -5692.216
A.D. 1900-Apr-15 00:00:00.0000 TDB, -2304.286, -2862.267, -5795.859
A.D. 1900-Apr-16 00:00:00.0000 TDB, -1989.261, -2941.185, -5882.27
A.D. 1900-Apr-17 00:00:00.0000 TDB, -1668.329, -3011.412, -5951.254
A.D. 1900-Apr-18 00:00:00.0000 TDB, -1342.437, -3072.759, -6002.643
A.D. 1900-Apr-19 00:00:00.0000 TDB, -1012.533, -3125.046, -6036.284
A.D. 1900-Apr-20 00:00:00.0000 TDB, -679.5731, -3168.104, -6052.045
A.D. 1900-Apr-21 00:00:00.0000 TDB, -344.5214, -3201.771, -6049.816
A.D. 1900-Apr-22 00:00:00.0000 TDB, -8.353341, -3225.899, -6029.505
A.D. 1900-Apr-23 00:00:00.0000 TDB, 327.9417, -3240.346, -5991.039
A.D. 1900-Apr-24 00:00:00.0000 TDB, 663.358, -3244.981, -5934.368
A.D. 1900-Apr-25 00:00:00.0000 TDB, 996.8704, -3239.681, -5859.463
A.D. 1900-Apr-26 00:00:00.0000 TDB, 1327.432, -3224.336, -5766.324
A.D. 1900-Apr-27 00:00:00.0000 TDB, 1653.972, -3198.847, -5654.97
A.D. 1900-Apr-28 00:00:00.0000 TDB, 1975.391, -3163.126, -5525.454
A.D. 1900-Apr-29 00:00:00.0000 TDB, 2290.56, -3117.102, -5377.858
A.D. 1900-Apr-30 00:00:00.0000 TDB, 2598.318, -3060.716, -5212.303
A.D. 1900-May-01 00:00:00.0000 TDB, 2897.465, -2993.928, -5028.945
A.D. 1900-May-02 00:00:00.0000 TDB, 3186.768, -2916.719, -4827.987
A.D. 1900-May-03 00:00:00.0000 TDB, 3464.95, -2829.088, -4609.681
A.D. 1900-May-04 00:00:00.0000 TDB, 3730.691, -2731.065, -4374.335
A.D. 1900-May-05 00:00:00.0000 TDB, 3982.631, -2622.707, -4122.322
A.D. 1900-May-06 00:00:00.0000 TDB, 4219.362, -2504.102, -3854.084
A.D. 1900-May-07 00:00:00.0000 TDB, 4439.431, -2375.381, -3570.145
A.D. 1900-May-08 00:00:00.0000 TDB, 4641.342, -2236.715, -3271.12
A.D. 1900-May-09 00:00:00.0000 TDB, 4823.557, -2088.328, -2957.725
A.D. 1900-May-10 00:00:00.0000 TDB, 4984.497, -1930.499, -2630.794
A.D. 1900-May-11 00:00:00.0000 TDB, 5122.554, -1763.575, -2291.285
A.D. 1900-May-12 00:00:00.0000 TDB, 5236.096, -1587.974, -1940.303
A.D. 1900-May-13 00:00:00.0000 TDB, 5323.476, -1404.199, -1579.109
A.D. 1900-May-14 00:00:00.0000 TDB, 5383.051, -1212.847, -1209.14
A.D. 1900-May-15 00:00:00.0000 TDB, 5413.203, -1014.618, -832.0231
A.D. 1900-May-16 00:00:00.0000 TDB, 5412.361, -810.3265, -449.5905
A.D. 1900-May-17 00:00:00.0000 TDB, 5379.032, -600.9146, -63.89507
A.D. 1900-May-18 00:00:00.0000 TDB, 5311.842, -387.458, 322.7798
A.D. 1900-May-19 00:00:00.0000 TDB, 5209.578, -171.1767, 707.9133
A.D. 1900-May-20 00:00:00.0000 TDB, 5071.238, 46.56027, 1088.747
A.D. 1900-May-21 00:00:00.0000 TDB, 4896.092, 264.2331, 1462.292
A.D. 1900-May-22 00:00:00.0000 TDB, 4683.745, 480.174, 1825.349
A.D. 1900-May-23 00:00:00.0000 TDB, 4434.199, 692.5778, 2174.537
A.D. 1900-May-24 00:00:00.0000 TDB, 4147.921, 899.5191, 2506.342
A.D. 1900-May-25 00:00:00.0000 TDB, 3825.905, 1098.98, 2817.178
A.D. 1900-May-26 00:00:00.0000 TDB, 3469.719, 1288.887, 3103.467
A.D. 1900-May-27 00:00:00.0000 TDB, 3081.542, 1467.156, 3361.732
A.D. 1900-May-28 00:00:00.0000 TDB, 2664.168, 1631.748, 3588.698
A.D. 1900-May-29 00:00:00.0000 TDB, 2220.998, 1780.731, 3781.41
A.D. 1900-May-30 00:00:00.0000 TDB, 1755.985, 1912.34, 3937.33
A.D. 1900-May-31 00:00:00.0000 TDB, 1273.555, 2025.037, 4054.442
A.D. 1900-Jun-01 00:00:00.0000 TDB, 778.4985, 2117.569, 4131.333
A.D. 1900-Jun-02 00:00:00.0000 TDB, 275.8409, 2189.002, 4167.232
