Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 775.2584, 9731.908, 21263.35
A.D. 2023-Jan-02 00:00:00.0000 TDB, 573.9858, 9746.822, 21284.02
A.D. 2023-Jan-03 00:00:00.0000 TDB, 372.6586, 9760.986, 21303.05
A.D. 2023-Jan-04 00:00:00.0000 TDB, 171.2925, 9774.398, 21320.44
A.D. 2023-Jan-05 00:00:00.0000 TDB, -30.09699, 9787.061, 21336.19
A.D. 2023-Jan-06 00:00:00.0000 TDB, -231.4944, 9798.974, 21350.3
A.D. 2023-Jan-07 00:00:00.0000 TDB, -432.8842, 9810.138, 21362.79
A.D. 2023-Jan-08 00:00:00.0000 TDB, -634.2512, 9820.555, 21373.64
A.D. 2023-Jan-09 00:00:00.0000 TDB, -835.5801, 9830.224, 21382.87
A.D. 2023-Jan-10 00:00:00.0000 TDB, -1036.856, 9839.147, 21390.47
A.D. 2023-Jan-11 00:00:00.0000 TDB, -1238.063, 9847.325, 21396.46
A.D. 2023-Jan-12 00:00:00.0000 TDB, -1439.186, 9854.76, 21400.83
A.D. 2023-Jan-13 00:00:00.0000 TDB, -1640.211, 9861.451, 21403.58
A.D. 2023-Jan-14 00:00:00.0000 TDB, -1841.123, 9867.4, 21404.73
A.D. 2023-Jan-15 00:00:00.0000 TDB, -2041.907, 9872.61, 21404.26
A.D. 2023-Jan-16 00:00:00.0000 TDB, -2242.547, 9877.081, 21402.2
A.D. 2023-Jan-17 00:00:00.0000 TDB, -2443.03, 9880.812, 21398.53
A.D. 2023-Jan-18 00:00:00.0000 TDB, -2643.341, 9883.808, 21393.27
A.D. 2023-Jan-19 00:00:00.0000 TDB, -2843.464, 9886.067, 21386.41
A.D. 2023-Jan-20 00:00:00.0000 TDB, -3043.387, 9887.593, 21377.97
A.D. 2023-Jan-21 00:00:00.0000 TDB, -3243.094, 9888.387, 21367.95
A.D. 2023-Jan-22 00:00:00.0000 TDB, -3442.57, 9888.449, 21356.34
A.D. 2023-Jan-23 00:00:00.0000 TDB, -3641.803, 9887.781, 21343.15
A.D. 2023-Jan-24 00:00:00.0000 TDB, -3840.777, 9886.386, 21328.4
A.D. 2023-Jan-25 00:00:00.0000 TDB, -4039.479, 9884.264, 21312.08
A.D. 2023-Jan-26 00:00:00.0000 TDB, -4237.894, 9881.418, 21294.19
A.D. 2023-Jan-27 00:00:00.0000 TDB, -4436.009, 9877.849, 21274.74
A.D. 2023-Jan-28 00:00:00.0000 TDB, -4633.809, 9873.558, 21253.75
A.D. 2023-Jan-29 00:00:00.0000 TDB, -4831.282, 9868.547, 21231.2
A.D. 2023-Jan-30 00:00:00.0000 TDB, -5028.413, 9862.82, 21207.1
A.D. 2023-Jan-31 00:00:00.0000 TDB, -5225.188, 9856.376, 21181.47
A.D. 2023-Feb-01 00:00:00.0000 TDB, -5421.594, 9849.219, 21154.3
A.D. 2023-Feb-02 00:00:00.0000 TDB, -5617.618, 9841.348, 21125.61
A.D. 2023-Feb-03 00:00:00.0000 TDB, -5813.247, 9832.769, 21095.38
A.D. 2023-Feb-04 00:00:00.0000 TDB, -6008.465, 9823.48, 21063.64
A.D. 2023-Feb-05 00:00:00.0000 TDB, -6203.262, 9813.486, 21030.38
A.D. 2023-Feb-06 00:00:00.0000 TDB, -6397.623, 9802.789, 20995.62
A.D. 2023-Feb-07 00:00:00.0000 TDB, -6591.535, 9791.389, 20959.35
A.D. 2023-Feb-08 00:00:00.0000 TDB, -6784.986, 9779.289, 20921.58
A.D. 2023-Feb-09 00:00:00.0000 TDB, -6977.962, 9766.491, 20882.32
A.D. 2023-Feb-10 00:00:00.0000 TDB, -7170.451, 9752.999, 20841.57
A.D. 2023-Feb-11 00:00:00.0000 TDB, -7362.439, 9738.813, 20799.34
A.D. 2023-Feb-12 00:00:00.0000 TDB, -7553.915, 9723.937, 20755.64
A.D. 2023-Feb-13 00:00:00.0000 TDB, -7744.865, 9708.371, 20710.46
A.D. 2023-Feb-14 00:00:00.0000 TDB, -7935.277, 9692.12, 20663.82
A.D. 2023-Feb-15 00:00:00.0000 TDB, -8125.138, 9675.185, 20615.72
A.D. 2023-Feb-16 00:00:00.0000 TDB, -8314.436, 9657.568, 20566.17
A.D. 2023-Feb-17 00:00:00.0000 TDB, -8503.159, 9639.272, 20515.17
A.D. 2023-Feb-18 00:00:00.0000 TDB, -8691.294, 9620.3, 20462.73
A.D. 2023-Feb-19 00:00:00.0000 TDB, -8878.83, 9600.653, 20408.86
A.D. 2023-Feb-20 00:00:00.0000 TDB, -9065.755, 9580.336, 20353.56
A.D. 2023-Feb-21 00:00:00.0000 TDB, -9252.055, 9559.35, 20296.84
A.D. 2023-Feb-22 00:00:00.0000 TDB, -9437.719, 9537.697, 20238.7
A.D. 2023-Feb-23 00:00:00.0000 TDB, -9622.736, 9515.38, 20179.15
A.D. 2023-Feb-24 00:00:00.0000 TDB, -9807.093, 9492.401, 20118.2
A.D. 2023-Feb-25 00:00:00.0000 TDB, -9990.779, 9468.766, 20055.86
A.D. 2023-Feb-26 00:00:00.0000 TDB, -10173.78, 9444.474, 19992.12
A.D. 2023-Feb-27 00:00:00.0000 TDB, -10356.09, 9419.528, 19927
A.D. 2023-Feb-28 00:00:00.0000 TDB, -10537.7, 9393.934, 19860.51
A.D. 2023-Mar-01 00:00:00.0000 TDB, -10718.58, 9367.691, 19792.65
A.D. 2023-Mar-02 00:00:00.0000 TDB, -10898.74, 9340.804, 19723.42
A.D. 2023-Mar-03 00:00:00.0000 TDB, -11078.16, 9313.275, 19652.84
A.D. 2023-Mar-04 00:00:00.0000 TDB, -11256.83, 9285.107, 19580.91
A.D. 2023-Mar-05 00:00:00.0000 TDB, -11434.73, 9256.303, 19507.64
A.D. 2023-Mar-06 00:00:00.0000 TDB, -11611.86, 9226.866, 19433.03
A.D. 2023-Mar-07 00:00:00.0000 TDB, -11788.21, 9196.799, 19357.1
A.D. 2023-Mar-08 00:00:00.0000 TDB, -11963.76, 9166.105, 19279.85
A.D. 2023-Mar-09 00:00:00.0000 TDB, -12138.51, 9134.787, 19201.28
A.D. 2023-Mar-10 00:00:00.0000 TDB, -12312.44, 9102.848, 19121.4
A.D. 2023-Mar-11 00:00:00.0000 TDB, -12485.55, 9070.29, 19040.23
A.D. 2023-Mar-12 00:00:00.0000 TDB, -12657.81, 9037.117, 18957.77
A.D. 2023-Mar-13 00:00:00.0000 TDB, -12829.23, 9003.334, 18874.02
A.D. 2023-Mar-14 00:00:00.0000 TDB, -12999.79, 8968.94, 18788.99
A.D. 2023-Mar-15 00:00:00.0000 TDB, -13169.48, 8933.941, 18702.7
A.D. 2023-Mar-16 00:00:00.0000 TDB, -13338.3, 8898.341, 18615.14
A.D. 2023-Mar-17 00:00:00.0000 TDB, -13506.22, 8862.14, 18526.33
A.D. 2023-Mar-18 00:00:00.0000 TDB, -13673.24, 8825.344, 18436.28
A.D. 2023-Mar-19 00:00:00.0000 TDB, -13839.36, 8787.954, 18344.98
A.D. 2023-Mar-20 00:00:00.0000 TDB, -14004.55, 8749.976, 18252.46
A.D. 2023-Mar-21 00:00:00.0000 TDB, -14168.82, 8711.41, 18158.7
A.D. 2023-Mar-22 00:00:00.0000 TDB, -14332.14, 8672.263, 18063.74
A.D. 2023-Mar-23 00:00:00.0000 TDB, -14494.52, 8632.535, 17967.56
A.D. 2023-Mar-24 00:00:00.0000 TDB, -14655.94, 8592.231, 17870.19
A.D. 2023-Mar-25 00:00:00.0000 TDB, -14816.39, 8551.354, 17771.63
A.D. 2023-Mar-26 00:00:00.0000 TDB, -14975.86, 8509.909, 17671.88
A.D. 2023-Mar-27 00:00:00.0000 TDB, -15134.34, 8467.896, 17570.95
A.D. 2023-Mar-28 00:00:00.0000 TDB, -15291.83, 8425.321, 17468.86
A.D. 2023-Mar-29 00:00:00.0000 TDB, -15448.31, 8382.188, 17365.6
A.D. 2023-Mar-30 00:00:00.0000 TDB, -15603.78, 8338.498, 17261.2
A.D. 2023-Mar-31 00:00:00.0000 TDB, -15758.22, 8294.255, 17155.65
A.D. 2023-Apr-01 00:00:00.0000 TDB, -15911.63, 8249.465, 17048.96
A.D. 2023-Apr-02 00:00:00.0000 TDB, -16064, 8204.129, 16941.15
A.D. 2023-Apr-03 00:00:00.0000 TDB, -16215.31, 8158.251, 16832.22
A.D. 2023-Apr-04 00:00:00.0000 TDB, -16365.56, 8111.836, 16722.18
A.D. 2023-Apr-05 00:00:00.0000 TDB, -16514.75, 8064.886, 16611.04
A.D. 2023-Apr-06 00:00:00.0000 TDB, -16662.85, 8017.406, 16498.8
A.D. 2023-Apr-07 00:00:00.0000 TDB, -16809.88, 7969.398, 16385.48
A.D. 2023-Apr-08 00:00:00.0000 TDB, -16955.8, 7920.866, 16271.08
A.D. 2023-Apr-09 00:00:00.0000 TDB, -17100.62, 7871.816, 16155.61
A.D. 2023-Apr-10 00:00:00.0000 TDB, -17244.33, 7822.249, 16039.08
A.D. 2023-Apr-11 00:00:00.0000 TDB, -17386.91, 7772.169, 15921.5
A.D. 2023-Apr-12 00:00:00.0000 TDB, -17528.37, 7721.581, 15802.88
A.D. 2023-Apr-13 00:00:00.0000 TDB, -17668.69, 7670.487, 15683.23
