Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 445080.7, -26090.29, -36670.27
A.D. 2023-Jan-02 00:00:00.0000 TDB, 445085, -26072.56, -36626.71
A.D. 2023-Jan-03 00:00:00.0000 TDB, 445089.3, -26054.85, -36583.15
A.D. 2023-Jan-04 00:00:00.0000 TDB, 445093.6, -26037.13, -36539.59
A.D. 2023-Jan-05 00:00:00.0000 TDB, 445097.9, -26019.41, -36496.04
A.D. 2023-Jan-06 00:00:00.0000 TDB, 445102.2, -26001.69, -36452.48
A.D. 2023-Jan-07 00:00:00.0000 TDB, 445106.5, -25983.96, -36408.92
A.D. 2023-Jan-08 00:00:00.0000 TDB, 445110.8, -25966.23, -36365.36
A.D. 2023-Jan-09 00:00:00.0000 TDB, 445115, -25948.51, -36321.8
A.D. 2023-Jan-10 00:00:00.0000 TDB, 445119.3, -25930.8, -36278.24
A.D. 2023-Jan-11 00:00:00.0000 TDB, 445123.6, -25913.08, -36234.68
A.D. 2023-Jan-12 00:00:00.0000 TDB, 445127.8, -25895.35, -36191.13
A.D. 2023-Jan-13 00:00:00.0000 TDB, 445132.1, -25877.62, -36147.56
A.D. 2023-Jan-14 00:00:00.0000 TDB, 445136.3, -25859.89, -36103.99
A.D. 2023-Jan-15 00:00:00.0000 TDB, 445140.6, -25842.17, -36060.43
A.D. 2023-Jan-16 00:00:00.0000 TDB, 445144.8, -25824.46, -36016.87
A.D. 2023-Jan-17 00:00:00.0000 TDB, 445149.1, -25806.73, -35973.31
A.D. 2023-Jan-18 00:00:00.0000 TDB, 445153.3, -25789, -35929.75
A.D. 2023-Jan-19 00:00:00.0000 TDB, 445157.5, -25771.27, -35886.18
A.D. 2023-Jan-20 00:00:00.0000 TDB, 445161.7, -25753.54, -35842.61
A.D. 2023-Jan-21 00:00:00.0000 TDB, 445166, -25735.82, -35799.05
A.D. 2023-Jan-22 00:00:00.0000 TDB, 445170.2, -25718.1, -35755.49
A.D. 2023-Jan-23 00:00:00.0000 TDB, 445174.4, -25700.37, -35711.93
A.D. 2023-Jan-24 00:00:00.0000 TDB, 445178.6, -25682.64, -35668.36
A.D. 2023-Jan-25 00:00:00.0000 TDB, 445182.8, -25664.91, -35624.79
A.D. 2023-Jan-26 00:00:00.0000 TDB, 445187, -25647.18, -35581.22
A.D. 2023-Jan-27 00:00:00.0000 TDB, 445191.2, -25629.46, -35537.66
A.D. 2023-Jan-28 00:00:00.0000 TDB, 445195.3, -25611.73, -35494.09
A.D. 2023-Jan-29 00:00:00.0000 TDB, 445199.5, -25594, -35450.53
A.D. 2023-Jan-30 00:00:00.0000 TDB, 445203.7, -25576.27, -35406.96
A.D. 2023-Jan-31 00:00:00.0000 TDB, 445207.8, -25558.54, -35363.39
A.D. 2023-Feb-01 00:00:00.0000 TDB, 445212, -25540.81, -35319.81
A.D. 2023-Feb-02 00:00:00.0000 TDB, 445216.2, -25523.08, -35276.25
A.D. 2023-Feb-03 00:00:00.0000 TDB, 445220.3, -25505.36, -35232.68
A.D. 2023-Feb-04 00:00:00.0000 TDB, 445224.4, -25487.63, -35189.11
A.D. 2023-Feb-05 00:00:00.0000 TDB, 445228.6, -25469.89, -35145.54
A.D. 2023-Feb-06 00:00:00.0000 TDB, 445232.8, -25452.15, -35101.97
A.D. 2023-Feb-07 00:00:00.0000 TDB, 445236.8, -25434.43, -35058.39
A.D. 2023-Feb-08 00:00:00.0000 TDB, 445241, -25416.7, -35014.82
A.D. 2023-Feb-09 00:00:00.0000 TDB, 445245.1, -25398.97, -34971.26
A.D. 2023-Feb-10 00:00:00.0000 TDB, 445249.2, -25381.24, -34927.69
A.D. 2023-Feb-11 00:00:00.0000 TDB, 445253.3, -25363.5, -34884.11
A.D. 2023-Feb-12 00:00:00.0000 TDB, 445257.4, -25345.77, -34840.54
A.D. 2023-Feb-13 00:00:00.0000 TDB, 445261.6, -25328.04, -34796.96
A.D. 2023-Feb-14 00:00:00.0000 TDB, 445265.7, -25310.31, -34753.39
A.D. 2023-Feb-15 00:00:00.0000 TDB, 445269.7, -25292.58, -34709.82
A.D. 2023-Feb-16 00:00:00.0000 TDB, 445273.8, -25274.84, -34666.25
A.D. 2023-Feb-17 00:00:00.0000 TDB, 445277.9, -25257.1, -34622.67
A.D. 2023-Feb-18 00:00:00.0000 TDB, 445282, -25239.36, -34579.09
A.D. 2023-Feb-19 00:00:00.0000 TDB, 445286, -25221.63, -34535.51
A.D. 2023-Feb-20 00:00:00.0000 TDB, 445290.1, -25203.91, -34491.94
A.D. 2023-Feb-21 00:00:00.0000 TDB, 445294.2, -25186.17, -34448.36
A.D. 2023-Feb-22 00:00:00.0000 TDB, 445298.2, -25168.43, -34404.79
A.D. 2023-Feb-23 00:00:00.0000 TDB, 445302.3, -25150.69, -34361.21
A.D. 2023-Feb-24 00:00:00.0000 TDB, 445306.3, -25132.95, -34317.63
A.D. 2023-Feb-25 00:00:00.0000 TDB, 445310.4, -25115.22, -34274.05
A.D. 2023-Feb-26 00:00:00.0000 TDB, 445314.4, -25097.49, -34230.47
A.D. 2023-Feb-27 00:00:00.0000 TDB, 445318.4, -25079.76, -34186.9
A.D. 2023-Feb-28 00:00:00.0000 TDB, 445322.4, -25062.02, -34143.32
A.D. 2023-Mar-01 00:00:00.0000 TDB, 445326.5, -25044.27, -34099.74
A.D. 2023-Mar-02 00:00:00.0000 TDB, 445330.5, -25026.53, -34056.15
A.D. 2023-Mar-03 00:00:00.0000 TDB, 445334.5, -25008.8, -34012.57
A.D. 2023-Mar-04 00:00:00.0000 TDB, 445338.5, -24991.07, -33969
A.D. 2023-Mar-05 00:00:00.0000 TDB, 445342.5, -24973.33, -33925.42
A.D. 2023-Mar-06 00:00:00.0000 TDB, 445346.5, -24955.59, -33881.84
A.D. 2023-Mar-07 00:00:00.0000 TDB, 445350.5, -24937.84, -33838.25
A.D. 2023-Mar-08 00:00:00.0000 TDB, 445354.6, -24920.1, -33794.66
A.D. 2023-Mar-09 00:00:00.0000 TDB, 445358.5, -24902.37, -33751.08
A.D. 2023-Mar-10 00:00:00.0000 TDB, 445362.5, -24884.63, -33707.5
A.D. 2023-Mar-11 00:00:00.0000 TDB, 445366.5, -24866.9, -33663.92
A.D. 2023-Mar-12 00:00:00.0000 TDB, 445370.4, -24849.15, -33620.34
A.D. 2023-Mar-13 00:00:00.0000 TDB, 445374.4, -24831.4, -33576.75
A.D. 2023-Mar-14 00:00:00.0000 TDB, 445378.3, -24813.66, -33533.16
A.D. 2023-Mar-15 00:00:00.0000 TDB, 445382.3, -24795.93, -33489.58
A.D. 2023-Mar-16 00:00:00.0000 TDB, 445386.3, -24778.19, -33446
A.D. 2023-Mar-17 00:00:00.0000 TDB, 445390.2, -24760.45, -33402.41
A.D. 2023-Mar-18 00:00:00.0000 TDB, 445394.1, -24742.7, -33358.83
A.D. 2023-Mar-19 00:00:00.0000 TDB, 445398.1, -24724.95, -33315.24
A.D. 2023-Mar-20 00:00:00.0000 TDB, 445402, -24707.21, -33271.65
A.D. 2023-Mar-21 00:00:00.0000 TDB, 445405.9, -24689.48, -33228.06
A.D. 2023-Mar-22 00:00:00.0000 TDB, 445409.8, -24671.74, -33184.48
A.D. 2023-Mar-23 00:00:00.0000 TDB, 445413.8, -24653.99, -33140.89
A.D. 2023-Mar-24 00:00:00.0000 TDB, 445417.7, -24636.24, -33097.3
A.D. 2023-Mar-25 00:00:00.0000 TDB, 445421.6, -24618.49, -33053.71
A.D. 2023-Mar-26 00:00:00.0000 TDB, 445425.5, -24600.75, -33010.12
A.D. 2023-Mar-27 00:00:00.0000 TDB, 445429.3, -24583.01, -32966.53
A.D. 2023-Mar-28 00:00:00.0000 TDB, 445433.3, -24565.28, -32922.95
A.D. 2023-Mar-29 00:00:00.0000 TDB, 445437.1, -24547.53, -32879.36
A.D. 2023-Mar-30 00:00:00.0000 TDB, 445441, -24529.77, -32835.77
A.D. 2023-Mar-31 00:00:00.0000 TDB, 445444.9, -24512.03, -32792.17
A.D. 2023-Apr-01 00:00:00.0000 TDB, 445448.8, -24494.28, -32748.58
A.D. 2023-Apr-02 00:00:00.0000 TDB, 445452.7, -24476.54, -32704.99
A.D. 2023-Apr-03 00:00:00.0000 TDB, 445456.5, -24458.8, -32661.4
A.D. 2023-Apr-04 00:00:00.0000 TDB, 445460.3, -24441.05, -32617.81
A.D. 2023-Apr-05 00:00:00.0000 TDB, 445464.2, -24423.3, -32574.22
A.D. 2023-Apr-06 00:00:00.0000 TDB, 445468.1, -24405.55, -32530.62
A.D. 2023-Apr-07 00:00:00.0000 TDB, 445471.9, -24387.8, -32487.02
A.D. 2023-Apr-08 00:00:00.0000 TDB, 445475.8, -24370.06, -32443.43
A.D. 2023-Apr-09 00:00:00.0000 TDB, 445479.5, -24352.32, -32399.85
A.D. 2023-Apr-10 00:00:00.0000 TDB, 445483.4, -24334.56, -32356.25
A.D. 2023-Apr-11 00:00:00.0000 TDB, 445487.2, -24316.81, -32312.66
A.D. 2023-Apr-12 00:00:00.0000 TDB, 445491, -24299.06, -32269.06
A.D. 2023-Apr-13 00:00:00.0000 TDB, 445494.8, -24281.31, -32225.46
A.D. 2023-Apr-14 00:00:00.0000 TDB, 445498.6, -24263.57, -32181.87
A.D. 2023-Apr-15 00:00:00.0000 TDB, 445502.4, -24245.82, -32138.28
A.D. 2023-Apr-16 00:00:00.0000 TDB, 445506.2, -24228.07, -32094.68
A.D. 2023-Apr-17 00:00:00.0000 TDB, 445510, -24210.31, -32051.08
A.D. 2023-Apr-18 00:00:00.0000 TDB, 445513.8, -24192.56, -32007.48
A.D. 2023-Apr-19 00:00:00.0000 TDB, 445517.6, -24174.82, -31963.88
A.D. 2023-Apr-20 00:00:00.0000 TDB, 445521.3, -24157.07, -31920.29
A.D. 2023-Apr-21 00:00:00.0000 TDB, 445525.1, -24139.32, -31876.69
A.D. 2023-Apr-22 00:00:00.0000 TDB, 445528.9, -24121.56, -31833.09
A.D. 2023-Apr-23 00:00:00.0000 TDB, 445532.6, -24103.81, -31789.49
A.D. 2023-Apr-24 00:00:00.0000 TDB, 445536.4, -24086.05, -31745.89
A.D. 2023-Apr-25 00:00:00.0000 TDB, 445540.2, -24068.31, -31702.29
A.D. 2023-Apr-26 00:00:00.0000 TDB, 445543.9, -24050.56, -31658.69
A.D. 2023-Apr-27 00:00:00.0000 TDB, 445547.6, -24032.81, -31615.09
A.D. 2023-Apr-28 00:00:00.0000 TDB, 445551.4, -24015.05, -31571.49
A.D. 2023-Apr-29 00:00:00.0000 TDB, 445555.1, -23997.29, -31527.89
A.D. 2023-Apr-30 00:00:00.0000 TDB, 445558.8, -23979.54, -31484.28
A.D. 2023-May-01 00:00:00.0000 TDB, 445562.6, -23961.79, -31440.68
A.D. 2023-May-02 00:00:00.0000 TDB, 445566.3, -23944.04, -31397.08
A.D. 2023-May-03 00:00:00.0000 TDB, 445570, -23926.29, -31353.48
A.D. 2023-May-04 00:00:00.0000 TDB, 445573.7, -23908.53, -31309.88
A.D. 2023-May-05 00:00:00.0000 TDB, 445577.4, -23890.77, -31266.28
A.D. 2023-May-06 00:00:00.0000 TDB, 445581.1, -23873.01, -31222.67
A.D. 2023-May-07 00:00:00.0000 TDB, 445584.8, -23855.26, -31179.07
A.D. 2023-May-08 00:00:00.0000 TDB, 445588.5, -23837.51, -31135.46
A.D. 2023-May-09 00:00:00.0000 TDB, 445592.2, -23819.76, -31091.86
A.D. 2023-May-10 00:00:00.0000 TDB, 445595.8, -23801.99, -31048.26
A.D. 2023-May-11 00:00:00.0000 TDB, 445599.5, -23784.23, -31004.65
A.D. 2023-May-12 00:00:00.0000 TDB, 445603.2, -23766.48, -30961.04
A.D. 2023-May-13 00:00:00.0000 TDB, 445606.9, -23748.73, -30917.43
A.D. 2023-May-14 00:00:00.0000 TDB, 445610.5, -23730.97, -30873.83
A.D. 2023-May-15 00:00:00.0000 TDB, 445614.1, -23713.21, -30830.23
A.D. 2023-May-16 00:00:00.0000 TDB, 445617.8, -23695.45, -30786.62
A.D. 2023-May-17 00:00:00.0000 TDB, 445621.4, -23677.69, -30743.01
A.D. 2023-May-18 00:00:00.0000 TDB, 445625.1, -23659.93, -30699.4
A.D. 2023-May-19 00:00:00.0000 TDB, 445628.7, -23642.18, -30655.79
A.D. 2023-May-20 00:00:00.0000 TDB, 445632.3, -23624.42, -30612.19
A.D. 2023-May-21 00:00:00.0000 TDB, 445635.9, -23606.66, -30568.58
A.D. 2023-May-22 00:00:00.0000 TDB, 445639.6, -23588.9, -30524.97
A.D. 2023-May-23 00:00:00.0000 TDB, 445643.2, -23571.13, -30481.36
A.D. 2023-May-24 00:00:00.0000 TDB, 445646.8, -23553.38, -30437.75
A.D. 2023-May-25 00:00:00.0000 TDB, 445650.4, -23535.62, -30394.14
A.D. 2023-May-26 00:00:00.0000 TDB, 445654, -23517.87, -30350.53
A.D. 2023-May-27 00:00:00.0000 TDB, 445657.6, -23500.1, -30306.92
A.D. 2023-May-28 00:00:00.0000 TDB, 445661.2, -23482.33, -30263.31
A.D. 2023-May-29 00:00:00.0000 TDB, 445664.8, -23464.57, -30219.69
A.D. 2023-May-30 00:00:00.0000 TDB, 445668.3, -23446.81, -30176.08
A.D. 2023-May-31 00:00:00.0000 TDB, 445671.9, -23429.06, -30132.47
A.D. 2023-Jun-01 00:00:00.0000 TDB, 445675.5, -23411.3, -30088.86
A.D. 2023-Jun-02 00:00:00.0000 TDB, 445679.1, -23393.53, -30045.25
A.D. 2023-Jun-03 00:00:00.0000 TDB, 445682.6, -23375.76, -30001.64
A.D. 2023-Jun-04 00:00:00.0000 TDB, 445686.2, -23358, -29958.02
A.D. 2023-Jun-05 00:00:00.0000 TDB, 445689.7, -23340.24, -29914.4
A.D. 2023-Jun-06 00:00:00.0000 TDB, 445693.3, -23322.48, -29870.79
A.D. 2023-Jun-07 00:00:00.0000 TDB, 445696.8, -23304.72, -29827.18
A.D. 2023-Jun-08 00:00:00.0000 TDB, 445700.3, -23286.95, -29783.57
A.D. 2023-Jun-09 00:00:00.0000 TDB, 445703.8, -23269.18, -29739.95
A.D. 2023-Jun-10 00:00:00.0000 TDB, 445707.4, -23251.42, -29696.33
A.D. 2023-Jun-11 00:00:00.0000 TDB, 445710.9, -23233.66, -29652.72
A.D. 2023-Jun-12 00:00:00.0000 TDB, 445714.4, -23215.9, -29609.1
A.D. 2023-Jun-13 00:00:00.0000 TDB, 445717.9, -23198.13, -29565.49
A.D. 2023-Jun-14 00:00:00.0000 TDB, 445721.4, -23180.36, -29521.88
A.D. 2023-Jun-15 00:00:00.0000 TDB, 445724.9, -23162.59, -29478.25
A.D. 2023-Jun-16 00:00:00.0000 TDB, 445728.4, -23144.83, -29434.63
A.D. 2023-Jun-17 00:00:00.0000 TDB, 445731.9, -23127.07, -29391.01
A.D. 2023-Jun-18 00:00:00.0000 TDB, 445735.4, -23109.3, -29347.4
A.D. 2023-Jun-19 00:00:00.0000 TDB, 445738.8, -23091.54, -29303.79
A.D. 2023-Jun-20 00:00:00.0000 TDB, 445742.3, -23073.77, -29260.17
A.D. 2023-Jun-21 00:00:00.0000 TDB, 445745.8, -23055.99, -29216.54
A.D. 2023-Jun-22 00:00:00.0000 TDB, 445749.3, -23038.23, -29172.92
A.D. 2023-Jun-23 00:00:00.0000 TDB, 445752.7, -23020.46, -29129.3
A.D. 2023-Jun-24 00:00:00.0000 TDB, 445756.2, -23002.7, -29085.69
