Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 121747.7, -35892.13, -74199.82
A.D. 2023-Jan-02 00:00:00.0000 TDB, 121789.8, -35867.33, -74135.39
A.D. 2023-Jan-03 00:00:00.0000 TDB, 121831.8, -35842.52, -74070.93
A.D. 2023-Jan-04 00:00:00.0000 TDB, 121873.8, -35817.7, -74006.45
A.D. 2023-Jan-05 00:00:00.0000 TDB, 121915.8, -35792.86, -73941.93
A.D. 2023-Jan-06 00:00:00.0000 TDB, 121957.7, -35768.02, -73877.4
A.D. 2023-Jan-07 00:00:00.0000 TDB, 121999.6, -35743.16, -73812.84
A.D. 2023-Jan-08 00:00:00.0000 TDB, 122041.4, -35718.29, -73748.27
A.D. 2023-Jan-09 00:00:00.0000 TDB, 122083.2, -35693.41, -73683.66
A.D. 2023-Jan-10 00:00:00.0000 TDB, 122125, -35668.52, -73619.05
A.D. 2023-Jan-11 00:00:00.0000 TDB, 122166.7, -35643.62, -73554.41
A.D. 2023-Jan-12 00:00:00.0000 TDB, 122208.4, -35618.7, -73489.75
A.D. 2023-Jan-13 00:00:00.0000 TDB, 122250, -35593.78, -73425.08
A.D. 2023-Jan-14 00:00:00.0000 TDB, 122291.6, -35568.84, -73360.38
A.D. 2023-Jan-15 00:00:00.0000 TDB, 122333.2, -35543.89, -73295.66
A.D. 2023-Jan-16 00:00:00.0000 TDB, 122374.8, -35518.93, -73230.92
A.D. 2023-Jan-17 00:00:00.0000 TDB, 122416.3, -35493.97, -73166.14
A.D. 2023-Jan-18 00:00:00.0000 TDB, 122457.7, -35468.99, -73101.34
A.D. 2023-Jan-19 00:00:00.0000 TDB, 122499.2, -35444, -73036.52
A.D. 2023-Jan-20 00:00:00.0000 TDB, 122540.6, -35419, -72971.66
A.D. 2023-Jan-21 00:00:00.0000 TDB, 122581.9, -35393.98, -72906.78
A.D. 2023-Jan-22 00:00:00.0000 TDB, 122623.2, -35368.96, -72841.88
A.D. 2023-Jan-23 00:00:00.0000 TDB, 122664.5, -35343.93, -72776.96
A.D. 2023-Jan-24 00:00:00.0000 TDB, 122705.7, -35318.88, -72712.02
A.D. 2023-Jan-25 00:00:00.0000 TDB, 122746.9, -35293.82, -72647.05
A.D. 2023-Jan-26 00:00:00.0000 TDB, 122788, -35268.75, -72582.07
A.D. 2023-Jan-27 00:00:00.0000 TDB, 122829.2, -35243.67, -72517.07
A.D. 2023-Jan-28 00:00:00.0000 TDB, 122870.2, -35218.58, -72452.05
A.D. 2023-Jan-29 00:00:00.0000 TDB, 122911.3, -35193.48, -72387.01
A.D. 2023-Jan-30 00:00:00.0000 TDB, 122952.3, -35168.37, -72321.95
A.D. 2023-Jan-31 00:00:00.0000 TDB, 122993.2, -35143.24, -72256.87
A.D. 2023-Feb-01 00:00:00.0000 TDB, 123034.2, -35118.11, -72191.75
A.D. 2023-Feb-02 00:00:00.0000 TDB, 123075.1, -35092.96, -72126.62
A.D. 2023-Feb-03 00:00:00.0000 TDB, 123115.9, -35067.81, -72061.45
A.D. 2023-Feb-04 00:00:00.0000 TDB, 123156.7, -35042.64, -71996.27
A.D. 2023-Feb-05 00:00:00.0000 TDB, 123197.5, -35017.46, -71931.05
A.D. 2023-Feb-06 00:00:00.0000 TDB, 123238.3, -34992.28, -71865.8
