Date, X, Y, Z
A.D. 2023-Mar-13 00:00:00.0000 TDB, 196757.7, 85300.02, 201115
A.D. 2023-Mar-14 00:00:00.0000 TDB, 196713.6, 85315.24, 201148.3
A.D. 2023-Mar-15 00:00:00.0000 TDB, 196669.4, 85330.46, 201181.6
A.D. 2023-Mar-16 00:00:00.0000 TDB, 196625.2, 85345.68, 201214.9
A.D. 2023-Mar-17 00:00:00.0000 TDB, 196581, 85360.89, 201248.3
A.D. 2023-Mar-18 00:00:00.0000 TDB, 196536.9, 85376.1, 201281.5
A.D. 2023-Mar-19 00:00:00.0000 TDB, 196492.7, 85391.3, 201314.8
A.D. 2023-Mar-20 00:00:00.0000 TDB, 196448.5, 85406.51, 201348.1
A.D. 2023-Mar-21 00:00:00.0000 TDB, 196404.3, 85421.71, 201381.4
A.D. 2023-Mar-22 00:00:00.0000 TDB, 196360, 85436.91, 201414.6
A.D. 2023-Mar-23 00:00:00.0000 TDB, 196315.8, 85452.09, 201447.9
A.D. 2023-Mar-24 00:00:00.0000 TDB, 196271.6, 85467.27, 201481.2
A.D. 2023-Mar-25 00:00:00.0000 TDB, 196227.4, 85482.46, 201514.4
A.D. 2023-Mar-26 00:00:00.0000 TDB, 196183.1, 85497.64, 201547.6
A.D. 2023-Mar-27 00:00:00.0000 TDB, 196138.8, 85512.82, 201580.9
A.D. 2023-Mar-28 00:00:00.0000 TDB, 196094.6, 85527.99, 201614.1
A.D. 2023-Mar-29 00:00:00.0000 TDB, 196050.3, 85543.17, 201647.3
A.D. 2023-Mar-30 00:00:00.0000 TDB, 196006, 85558.34, 201680.5
A.D. 2023-Mar-31 00:00:00.0000 TDB, 195961.8, 85573.5, 201713.7
A.D. 2023-Apr-01 00:00:00.0000 TDB, 195917.5, 85588.66, 201746.9
A.D. 2023-Apr-02 00:00:00.0000 TDB, 195873.2, 85603.82, 201780
A.D. 2023-Apr-03 00:00:00.0000 TDB, 195828.8, 85618.97, 201813.2
A.D. 2023-Apr-04 00:00:00.0000 TDB, 195784.5, 85634.13, 201846.4
A.D. 2023-Apr-05 00:00:00.0000 TDB, 195740.2, 85649.27, 201879.5
A.D. 2023-Apr-06 00:00:00.0000 TDB, 195695.9, 85664.41, 201912.7
A.D. 2023-Apr-07 00:00:00.0000 TDB, 195651.5, 85679.55, 201945.8
A.D. 2023-Apr-08 00:00:00.0000 TDB, 195607.2, 85694.7, 201979
A.D. 2023-Apr-09 00:00:00.0000 TDB, 195562.9, 85709.82, 202012.1
A.D. 2023-Apr-10 00:00:00.0000 TDB, 195518.5, 85724.95, 202045.2
A.D. 2023-Apr-11 00:00:00.0000 TDB, 195474.1, 85740.09, 202078.3
A.D. 2023-Apr-12 00:00:00.0000 TDB, 195429.7, 85755.2, 202111.4
A.D. 2023-Apr-13 00:00:00.0000 TDB, 195385.4, 85770.33, 202144.5
A.D. 2023-Apr-14 00:00:00.0000 TDB, 195341, 85785.45, 202177.6
A.D. 2023-Apr-15 00:00:00.0000 TDB, 195296.6, 85800.57, 202210.7
A.D. 2023-Apr-16 00:00:00.0000 TDB, 195252.2, 85815.68, 202243.7
A.D. 2023-Apr-17 00:00:00.0000 TDB, 195207.8, 85830.78, 202276.8
A.D. 2023-Apr-18 00:00:00.0000 TDB, 195163.3, 85845.89, 202309.8
A.D. 2023-Apr-19 00:00:00.0000 TDB, 195118.9, 85860.98, 202342.9
A.D. 2023-Apr-20 00:00:00.0000 TDB, 195074.5, 85876.09, 202375.9
A.D. 2023-Apr-21 00:00:00.0000 TDB, 195030, 85891.17, 202408.9
A.D. 2023-Apr-22 00:00:00.0000 TDB, 194985.5, 85906.27, 202442
A.D. 2023-Apr-23 00:00:00.0000 TDB, 194941.1, 85921.36, 202475
A.D. 2023-Apr-24 00:00:00.0000 TDB, 194896.6, 85936.45, 202508
