Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, -135.463, 3.44957, 0.05273806
A.D. 2023-Jan-02 00:00:00.0000 TDB, -135.4488, 3.39673, -0.07107751
A.D. 2023-Jan-03 00:00:00.0000 TDB, -135.4344, 3.343902, -0.1948556
A.D. 2023-Jan-04 00:00:00.0000 TDB, -135.4198, 3.291085, -0.3185953
A.D. 2023-Jan-05 00:00:00.0000 TDB, -135.4049, 3.238279, -0.442296
A.D. 2023-Jan-06 00:00:00.0000 TDB, -135.3899, 3.185486, -0.5659571
A.D. 2023-Jan-07 00:00:00.0000 TDB, -135.3747, 3.132704, -0.6895782
A.D. 2023-Jan-08 00:00:00.0000 TDB, -135.3593, 3.079936, -0.8131588
A.D. 2023-Jan-09 00:00:00.0000 TDB, -135.3437, 3.027179, -0.9366986
A.D. 2023-Jan-10 00:00:00.0000 TDB, -135.3279, 2.974436, -1.060198
A.D. 2023-Jan-11 00:00:00.0000 TDB, -135.312, 2.921706, -1.183655
A.D. 2023-Jan-12 00:00:00.0000 TDB, -135.2958, 2.868988, -1.307072
A.D. 2023-Jan-13 00:00:00.0000 TDB, -135.2795, 2.816284, -1.430447
A.D. 2023-Jan-14 00:00:00.0000 TDB, -135.2629, 2.763592, -1.55378
A.D. 2023-Jan-15 00:00:00.0000 TDB, -135.2462, 2.710913, -1.677071
A.D. 2023-Jan-16 00:00:00.0000 TDB, -135.2293, 2.658248, -1.800321
A.D. 2023-Jan-17 00:00:00.0000 TDB, -135.2122, 2.605595, -1.923529
A.D. 2023-Jan-18 00:00:00.0000 TDB, -135.1949, 2.552956, -2.046694
A.D. 2023-Jan-19 00:00:00.0000 TDB, -135.1774, 2.50033, -2.169817
A.D. 2023-Jan-20 00:00:00.0000 TDB, -135.1598, 2.447717, -2.292897
A.D. 2023-Jan-21 00:00:00.0000 TDB, -135.1419, 2.395117, -2.415934
A.D. 2023-Jan-22 00:00:00.0000 TDB, -135.1239, 2.342531, -2.538928
A.D. 2023-Jan-23 00:00:00.0000 TDB, -135.1057, 2.289958, -2.661878
A.D. 2023-Jan-24 00:00:00.0000 TDB, -135.0873, 2.237399, -2.784784
A.D. 2023-Jan-25 00:00:00.0000 TDB, -135.0687, 2.184853, -2.907646
A.D. 2023-Jan-26 00:00:00.0000 TDB, -135.0499, 2.132322, -3.030463
A.D. 2023-Jan-27 00:00:00.0000 TDB, -135.0309, 2.079804, -3.153235
A.D. 2023-Jan-28 00:00:00.0000 TDB, -135.0118, 2.027301, -3.275961
A.D. 2023-Jan-29 00:00:00.0000 TDB, -134.9924, 1.974812, -3.398641
A.D. 2023-Jan-30 00:00:00.0000 TDB, -134.9729, 1.922338, -3.521274
A.D. 2023-Jan-31 00:00:00.0000 TDB, -134.9532, 1.869878, -3.643861
A.D. 2023-Feb-01 00:00:00.0000 TDB, -134.9333, 1.817434, -3.766399
A.D. 2023-Feb-02 00:00:00.0000 TDB, -134.9132, 1.765004, -3.88889
A.D. 2023-Feb-03 00:00:00.0000 TDB, -134.8929, 1.71259, -4.011332
A.D. 2023-Feb-04 00:00:00.0000 TDB, -134.8725, 1.660191, -4.133725
A.D. 2023-Feb-05 00:00:00.0000 TDB, -134.8518, 1.607808, -4.256069
A.D. 2023-Feb-06 00:00:00.0000 TDB, -134.831, 1.555441, -4.378363
A.D. 2023-Feb-07 00:00:00.0000 TDB, -134.81, 1.503091, -4.500606
A.D. 2023-Feb-08 00:00:00.0000 TDB, -134.7888, 1.450756, -4.622797
A.D. 2023-Feb-09 00:00:00.0000 TDB, -134.7674, 1.398438, -4.744937
A.D. 2023-Feb-10 00:00:00.0000 TDB, -134.7459, 1.346138, -4.867026
A.D. 2023-Feb-11 00:00:00.0000 TDB, -134.7241, 1.293854, -4.989061
A.D. 2023-Feb-12 00:00:00.0000 TDB, -134.7022, 1.241587, -5.111044
